split,design,idx,status,file
train,TMRDL,0,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut0.s2p
train,TMRDL,1,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut1.s2p
train,TMRDL,2,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut2.s2p
train,TMRDL,3,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut3.s2p
train,TMRDL,4,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut4.s2p
train,TMRDL,5,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut5.s2p
train,TMRDL,6,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut6.s2p
train,TMRDL,7,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut7.s2p
train,TMRDL,8,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut8.s2p
train,TMRDL,9,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut9.s2p
train,TMRDL,10,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut10.s2p
train,TMRDL,11,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut11.s2p
train,TMRDL,12,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut12.s2p
train,TMRDL,13,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut13.s2p
train,TMRDL,14,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut14.s2p
train,TMRDL,15,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut15.s2p
train,TMRDL,16,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut16.s2p
train,TMRDL,17,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut17.s2p
train,TMRDL,18,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut18.s2p
train,TMRDL,19,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut19.s2p
train,TMRDL,20,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut20.s2p
train,TMRDL,21,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut21.s2p
train,TMRDL,22,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut22.s2p
train,TMRDL,23,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut23.s2p
train,TMRDL,24,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut24.s2p
train,TMRDL,25,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut25.s2p
train,TMRDL,26,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut26.s2p
train,TMRDL,27,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut27.s2p
train,TMRDL,28,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut28.s2p
train,TMRDL,29,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut29.s2p
train,TMRDL,30,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut30.s2p
train,TMRDL,31,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut31.s2p
train,TMRDL,32,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut32.s2p
train,TMRDL,33,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut33.s2p
train,TMRDL,34,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut34.s2p
train,TMRDL,35,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut35.s2p
train,TMRDL,36,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut36.s2p
train,TMRDL,37,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut37.s2p
train,TMRDL,38,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut38.s2p
train,TMRDL,39,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut39.s2p
train,TMRDL,40,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut40.s2p
train,TMRDL,41,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut41.s2p
train,TMRDL,42,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut42.s2p
train,TMRDL,43,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\simdata_TSV_RDL_Connection\train\TMRDL\dut43.s2p
