pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl
41.26,710.52,22.44,4.41
30.14,809.33,23.57,4.74
42.12,948.05,15.47,3.14
41.96,843.41,22.94,4.71
31.39,394.18,22.21,5.2
34.93,483.08,17.05,5.16
40.12,361.51,12.37,4.76
38.67,861.45,27.12,5.5
27.7,635.26,24.59,2.0
19.78,490.77,12.82,4.64
39.59,720.04,17.76,5.42
28.92,190.89,19.88,5.65
18.48,351.36,10.84,5.2
43.25,626.95,23.06,2.74
26.89,789.45,11.84,4.91
46.16,558.38,14.13,2.21
46.85,141.85,18.5,4.8
36.43,175.63,29.73,3.65
57.65,596.67,29.25,3.32
47.77,323.57,25.42,2.44
19.39,186.48,11.36,2.66
41.42,271.1,12.5,4.17
58.59,969.31,27.39,5.32
51.6,683.76,19.71,2.6
30.22,332.37,17.94,3.61
21.42,869.61,10.09,3.02
44.36,881.74,12.2,2.97
49.89,524.38,13.7,4.12
43.12,376.28,24.23,5.79
42.76,912.58,25.93,2.78
48.89,944.78,15.74,5.25
54.26,671.32,23.3,3.46
35.99,794.42,21.26,5.05
53.77,817.48,28.46,5.95
47.93,270.15,26.98,3.17
45.88,538.73,28.18,2.51
13.76,163.51,10.53,2.69
58.93,284.46,10.77,2.36
44.29,199.27,18.36,2.09
48.39,425.81,19.34,5.81
56.53,992.42,25.21,4.98
34.63,352.59,28.33,4.63
44.44,341.65,20.96,3.53
20.82,422.49,18.61,2.24
59.97,692.54,13.22,3.06
53.13,441.31,23.91,3.84
55.82,225.02,26.55,5.46
55.62,609.11,11.03,4.28
23.96,826.97,21.52,2.59
38.52,404.76,13.47,3.72
14.39,521.41,13.09,3.88
28.7,545.61,16.52,4.28
14.17,243.14,12.63,3.6
56.6,732.61,20.68,2.37
57.01,460.9,15.06,4.37
53.71,701.92,18.16,4.04
30.17,981.12,14.71,3.22
57.51,961.38,13.87,3.82
58.58,408.79,20.1,2.56
42.44,128.83,29.91,4.86
32.13,503.71,18.82,5.01
38.14,457.28,24.95,2.91
39.64,768.99,22.12,3.39
36.05,748.7,17.4,3.98
42.75,101.18,29.57,3.26
40.54,903.5,27.46,2.48
28.84,984.99,24.05,5.69
48.27,152.4,16.62,4.01
51.59,593.88,11.62,5.61
40.58,837.01,14.3,2.96
39.89,723.78,21.71,2.81
47.1,565.92,21.11,2.85
28.01,216.5,25.12,5.9
34.98,580.29,26.29,4.55
34.8,386.15,20.52,5.09
33.39,657.19,20.26,5.39
34.53,252.56,27.79,4.35
37.12,445.26,28.76,2.31
49.24,930.99,15.22,3.51
59.67,744.0,26.18,5.85
54.55,513.58,21.91,4.94
18.89,613.72,14.44,2.08
16.93,641.15,10.26,5.98
27.05,853.59,14.86,4.48
46.65,927.05,16.33,3.75
56.27,116.06,25.68,4.1
40.64,664.98,23.76,5.54
38.4,312.97,28.91,3.34
45.0,575.22,17.3,2.17
23.43,761.52,19.16,2.13
24.21,290.04,16.11,5.58
42.33,777.34,19.43,3.95
47.58,900.6,15.99,3.43
51.74,126.65,27.82,5.32
39.58,885.16,22.61,4.21
55.54,155.16,26.69,5.74
53.06,228.27,29.16,3.08
51.19,475.33,11.41,4.59
21.76,302.64,16.95,4.51
38.53,257.67,24.63,3.78
