pitch,l_tmrdl,w_tmrdl,h_tmrdl
50.44,603.36,29.33,4.23
44.25,920.25,19.4,5.9
53.29,481.49,13.2,2.87
30.45,530.12,10.81,4.92
48.48,626.91,12.81,5.8
28.39,839.51,11.22,4.46
31.25,585.67,20.67,2.8
45.12,617.02,27.23,2.03
57.95,266.18,24.91,2.33
14.65,650.27,12.6,4.3
23.31,379.12,16.62,5.68
56.19,200.5,14.82,3.55
40.04,698.18,12.04,5.11
57.83,453.9,21.1,2.53
43.61,783.66,29.55,4.2
46.74,980.94,26.03,4.56
47.75,183.38,29.78,2.72
32.81,250.76,24.28,4.51
35.44,588.02,13.36,2.66
44.07,305.35,15.24,4.66
17.64,180.82,14.53,3.9
59.28,163.41,10.27,5.22
37.92,420.04,15.06,3.23
33.79,254.48,21.99,2.71
42.99,876.63,14.11,5.82
25.09,218.75,21.26,3.28
20.08,397.63,11.08,3.34
58.09,512.94,18.1,2.59
41.81,900.77,28.47,5.42
37.81,810.96,28.27,5.31
26.17,271.6,23.99,5.17
32.78,440.71,28.02,3.65
54.59,547.34,13.5,2.3
52.31,108.55,23.78,4.16
58.57,494.41,17.47,2.05
51.03,558.22,11.73,4.61
15.31,746.32,11.86,4.37
36.06,848.84,10.64,2.79
50.05,519.73,24.46,5.38
54.63,815.7,28.8,3.97
21.0,239.52,17.36,4.53
26.63,562.2,17.04,2.2
22.21,714.78,14.31,4.96
31.07,703.15,21.77,4.27
36.09,340.38,13.64,3.31
59.16,468.91,19.2,2.61
35.59,675.46,26.3,3.51
48.3,229.77,16.54,5.15
42.27,474.07,19.88,5.45
44.87,283.66,15.55,3.06
35.79,728.35,20.09,2.26
40.11,758.84,22.18,4.91
36.17,114.52,23.55,5.59
41.78,375.41,27.99,5.63
50.71,969.83,16.88,3.82
54.57,692.1,22.87,5.72
52.51,497.66,26.95,4.72
51.32,392.76,24.75,3.04
41.33,348.95,19.64,4.42
52.15,770.82,20.82,2.41
47.8,959.78,20.38,5.02
27.92,947.36,26.64,5.25
33.61,663.23,20.44,5.98
35.5,151.84,21.42,5.49
56.94,537.85,25.37,4.8
47.69,295.64,22.63,4.84
54.99,632.79,19.24,4.68
59.92,823.84,16.35,3.7
27.0,885.69,18.58,5.67
33.06,128.35,12.54,3.08
33.66,192.15,23.15,3.45
50.4,212.48,10.11,4.03
33.11,125.83,29.06,2.46
31.42,858.17,27.4,2.48
47.57,308.67,17.65,2.17
36.6,326.69,22.26,5.87
30.41,643.72,25.53,4.08
35.68,996.67,15.82,2.37
53.37,787.63,18.3,2.11
27.48,833.58,18.65,4.82
40.56,353.25,28.92,5.54
56.32,318.64,23.22,5.07
34.24,684.24,16.08,2.92
47.55,366.85,26.6,2.15
47.08,413.04,15.8,3.86
18.56,568.36,13.81,3.77
47.2,428.68,29.98,5.93
53.55,162.89,10.57,3.42
50.79,931.8,24.17,5.32
42.11,732.73,17.99,3.14
28.39,756.05,27.03,2.99
43.54,447.42,12.36,3.59
42.37,984.97,22.6,3.74
57.59,798.2,25.02,4.09
29.38,905.57,19.0,3.37
36.97,913.53,25.65,3.62
34.26,872.49,27.63,2.93
31.74,141.18,25.88,4.36
37.35,604.3,14.72,3.94
26.03,944.27,11.57,3.18
