pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl
39.26,10.81,83.92,659.59,22.03,3.95,687.28,15.67,3.87
42.94,9.83,89.41,710.47,23.69,2.63,750.19,24.77,4.31
43.5,13.1,97.11,346.23,15.69,4.36,644.29,12.12,3.77
46.38,7.03,91.3,682.08,23.54,4.0,311.63,25.07,6.0
46.85,11.76,66.34,649.45,25.98,2.89,430.09,28.78,2.73
56.08,6.4,71.28,417.29,25.8,3.61,322.99,27.53,5.19
50.8,5.25,64.53,206.79,23.82,4.29,341.07,11.47,3.75
39.52,8.91,92.3,870.38,27.48,3.32,617.44,17.58,5.77
40.79,14.22,79.74,756.74,10.02,2.24,706.77,26.65,3.98
30.95,2.29,71.71,226.95,23.22,2.52,382.45,21.42,3.88
53.53,3.74,84.45,449.14,27.08,4.02,331.43,11.78,3.14
49.4,13.88,55.05,544.65,28.25,2.82,274.31,13.69,4.6
56.66,9.47,63.96,137.93,26.01,2.55,418.15,11.91,4.7
59.45,14.25,79.27,687.68,13.7,4.14,866.64,15.38,3.62
25.57,7.76,88.3,182.96,24.55,3.19,880.25,20.0,2.26
42.51,9.77,75.47,286.01,11.05,4.77,223.42,22.72,2.07
47.47,9.55,52.33,482.65,24.01,4.7,524.99,27.18,2.24
36.12,4.82,54.2,987.64,18.27,2.78,454.35,10.23,3.39
34.24,8.0,77.59,966.19,16.58,5.68,790.24,28.83,2.08
46.0,10.27,62.42,793.92,12.18,4.54,138.82,25.86,3.11
40.67,2.61,54.8,161.19,13.28,2.59,479.14,17.64,4.22
36.47,14.81,59.51,212.41,20.83,4.4,473.46,28.54,5.84
42.83,8.47,98.29,882.55,26.59,5.82,774.72,19.78,5.12
47.11,5.79,82.43,537.03,13.02,5.14,670.6,11.1,5.21
53.99,10.07,62.91,457.22,18.07,3.1,813.26,21.12,3.33
56.49,2.97,92.76,103.87,15.11,2.84,250.83,21.28,5.81
31.17,4.17,93.43,199.0,14.83,4.66,735.86,10.58,4.76
31.57,14.39,73.58,266.54,20.62,5.11,149.82,29.81,2.71
49.9,7.25,65.35,740.37,28.95,4.06,513.08,24.37,4.8
21.19,5.61,95.14,816.81,13.88,3.91,546.03,16.05,4.27
46.5,2.43,96.93,358.11,26.23,4.97,105.1,12.63,4.02
32.03,3.57,81.74,698.58,17.32,5.36,235.29,25.27,3.8
33.27,13.45,88.58,606.87,25.26,3.45,540.55,17.99,4.35
34.4,12.16,89.86,930.81,29.75,5.18,119.8,18.03,3.5
51.14,14.55,59.45,864.31,15.87,4.49,562.13,23.13,2.57
56.08,12.53,74.37,917.9,12.53,4.17,741.88,13.08,4.66
40.86,2.67,53.53,123.98,13.46,2.18,192.29,29.01,2.92
35.81,8.56,60.25,134.83,11.79,5.91,845.71,26.86,2.68
52.8,11.26,55.51,476.05,10.45,4.45,501.46,15.51,3.94
36.15,12.69,68.1,520.17,29.07,4.83,357.03,19.41,5.6
30.01,2.82,99.58,784.44,24.91,5.59,179.51,15.06,2.52
53.49,4.66,64.03,924.65,23.13,2.69,891.41,28.35,3.66
41.26,4.01,63.42,592.98,17.67,4.36,781.13,19.89,2.97
32.13,4.9,67.92,487.38,11.21,2.12,576.54,20.28,2.4
25.83,8.15,82.92,244.94,15.29,6.0,724.74,22.5,4.54
