pitch,r_tsv,h_tsv
42.1,9.27,98.32
59.23,13.85,73.51
25.55,7.51,57.99
48.51,8.21,52.03
57.96,9.61,57.04
47.09,12.68,53.06
27.24,9.02,76.67
20.2,9.47,93.07
13.91,4.4,87.28
43.43,9.95,56.5
56.27,6.03,66.55
28.12,3.45,62.04
51.61,10.64,55.09
21.17,7.11,77.74
44.13,11.88,98.88
49.39,14.72,90.08
16.9,3.2,99.46
41.12,4.18,85.69
25.88,9.05,58.39
43.53,4.97,63.1
32.4,3.17,61.33
49.59,2.92,50.69
28.29,6.62,62.65
18.43,4.23,79.97
58.52,13.22,60.27
24.93,3.72,78.16
29.17,6.3,52.69
23.28,7.96,70.24
55.41,13.57,96.19
54.02,12.27,95.68
49.56,4.48,84.98
33.49,6.92,95.06
21.07,8.46,58.75
34.78,2.12,84.45
16.97,7.7,68.68
45.54,8.62,54.33
45.2,11.34,54.65
33.23,12.82,51.61
53.37,8.06,86.14
42.62,12.34,96.99
41.33,4.02,68.4
20.48,8.68,67.59
50.33,10.88,60.77
43.8,10.71,79.44
27.71,5.47,59.1
22.44,7.33,72.99
36.14,10.31,90.76
49.1,3.87,66.35
53.9,7.4,74.69
23.53,4.65,63.88
25.57,11.08,75.22
50.24,11.52,80.45
54.46,2.21,83.88
55.69,5.98,94.98
43.7,14.56,67.19
57.39,10.55,82.17
46.11,7.74,92.37
25.55,6.23,86.87
41.11,5.6,74.11
28.02,11.69,77.06
52.64,14.42,75.94
54.28,14.24,91.6
59.84,10.14,76.11
53.21,2.75,78.56
47.27,8.32,88.43
45.73,4.83,81.57
46.96,9.7,73.1
40.39,12.46,65.87
57.35,13.35,71.45
20.47,2.41,56.36
26.66,3.33,82.88
34.51,3.62,50.29
12.01,2.37,97.65
30.9,12.95,93.51
13.08,5.01,69.12
58.48,5.27,80.65
41.12,9.85,88.82
33.63,14.95,64.56
25.84,11.93,70.74
50.01,12.6,71.62
54.47,5.66,97.29
48.68,5.16,83.06
30.64,10.44,65.2
14.51,5.85,91.49
35.47,6.52,64.49
36.84,8.77,59.52
59.19,6.75,99.94
25.75,2.91,51.43
54.76,14.01,85.43
33.72,11.14,69.98
32.91,11.48,92.57
32.89,7.02,55.9
43.34,14.78,81.5
43.35,12.09,87.56
39.16,13.64,72.49
41.3,13.75,89.13
34.89,13.16,94.08
37.89,2.59,89.71
39.17,9.28,61.79
38.4,14.2,53.92
