output_path,split,design,idx,status,file
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,0,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut0.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,1,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut1.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,2,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut2.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,3,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut3.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,4,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut4.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,5,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut5.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,6,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut6.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,7,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut7.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,8,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut8.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,9,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut9.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2,train,TSV_RDL,10,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut10.s2p
