h_tsv,r_tsv,pitch,l_tmrdl,w_tmrdl,t_tmrdl,l_bsmrdl,w_bsmrdl,t_bsmrdl,dut_index
80.26,6.63,40.78,296.42,17.27,4.34,332.84,23.51,2.12,0
95.86,11.5,54.3,583.54,27.8,2.43,416.11,20.26,2.72,1
54.84,13.21,54.71,425.31,12.59,3.1,541.72,16.1,2.62,2
63.74,8.94,51.0,367.01,29.12,4.56,546.52,20.68,4.68,3
61.45,14.53,40.34,123.42,28.32,3.52,554.47,10.45,4.98,4
77.98,10.22,59.27,645.54,13.17,4.95,243.98,21.37,4.17,5
92.33,14.69,48.95,259.8,10.57,2.26,521.39,23.04,3.92,6
60.79,12.25,59.01,392.19,28.4,4.82,398.42,24.91,2.95,7
74.81,7.35,55.8,300.81,14.16,2.5,591.83,19.1,4.7,8
57.25,9.71,51.48,423.53,26.51,2.12,101.83,27.81,3.1,9
65.6,9.42,40.11,461.31,22.0,4.7,174.93,11.89,3.31,10
79.44,11.92,52.59,670.18,28.01,2.14,180.99,15.52,4.92,11
75.77,9.97,53.32,676.0,21.22,2.56,585.73,25.25,2.25,12
82.31,6.9,59.9,323.81,22.8,2.99,318.54,26.57,4.47,13
66.69,7.71,46.63,211.04,28.91,4.76,559.45,23.74,3.55,14
67.78,14.17,44.84,150.61,24.75,2.29,104.03,18.23,3.94,15
89.95,10.28,56.67,521.91,20.25,3.23,190.87,18.7,4.18,16
93.25,9.83,43.89,474.09,14.01,3.08,388.34,12.98,3.74,17
52.34,10.74,56.07,622.82,10.01,2.27,534.75,17.87,3.61,18
69.42,8.32,44.78,217.39,14.69,3.55,650.48,19.36,3.38,19
81.33,7.21,58.6,343.48,21.94,4.13,306.99,18.66,2.57,20
71.63,6.22,51.78,161.28,10.97,4.27,635.27,27.09,4.35,21
54.1,5.63,59.19,631.12,12.33,3.3,439.8,11.46,3.5,22
77.53,13.88,43.56,499.24,18.32,4.53,602.31,22.01,2.1,23
