pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
59.43,146.25,11.32,5.69,100
28.79,100.97,25.84,2.17,101
17.32,980.58,14.56,5.96,102
33.04,116.62,10.1,5.65,103
59.37,977.0,10.08,2.04,104
44.9,830.67,29.9,4.2,105
41.37,114.58,10.85,2.99,106
56.42,509.67,28.94,5.1,107
58.6,972.33,29.78,3.19,108
58.25,767.41,29.23,2.09,109
27.78,503.0,10.11,2.84,110
23.58,104.0,19.73,2.86,111
37.09,941.05,10.66,5.88,112
57.65,871.33,10.05,5.73,113
56.02,124.86,20.17,5.99,114
23.02,987.98,20.64,3.77,115
13.62,110.67,11.08,5.88,116
57.64,882.32,20.45,5.91,117
24.66,501.81,23.04,3.74,118
30.58,974.97,27.32,3.7,119
58.69,183.18,11.39,3.56,120
52.57,989.78,18.27,2.2,121
14.23,984.83,10.66,4.57,122
59.07,107.75,27.08,2.08,123
36.87,531.26,29.09,5.91,124
44.45,339.28,10.7,5.94,125
56.81,962.96,21.57,3.63,126
30.23,105.2,20.28,4.28,127
35.11,649.84,10.7,4.0,128
55.47,109.18,21.1,2.83,129
30.68,603.23,29.2,3.32,130
19.07,689.28,15.99,5.56,131
47.44,843.66,10.57,4.64,132
24.48,980.38,12.12,2.0,133
32.11,107.64,13.66,2.01,134
38.18,337.29,10.9,2.2,135
58.79,643.34,17.75,5.74,136
53.1,359.78,15.16,3.15,137
59.95,339.14,15.27,5.47,138
29.62,626.85,16.45,3.06,139
11.97,736.79,10.22,4.17,140
31.8,950.01,16.8,5.45,141
57.15,730.24,24.99,4.52,142
28.01,360.86,23.56,2.02,143
36.13,608.5,13.4,5.98,144
44.72,296.82,29.73,5.98,145
48.48,557.12,10.2,3.16,146
28.64,135.94,10.15,4.25,147
37.86,753.73,11.58,2.04,148
59.77,947.67,24.14,2.63,149
59.11,394.8,29.06,4.05,150
33.15,985.95,23.15,2.02,151
15.16,118.7,13.82,4.72,152
35.8,391.87,16.19,2.64,153
53.82,788.72,15.0,2.02,154
18.55,803.45,16.1,3.34,155
59.27,282.28,20.26,4.59,156
48.35,177.09,15.4,5.79,157
25.73,730.63,24.57,5.88,158
38.71,137.31,21.73,2.94,159
32.14,124.12,15.99,4.97,160
28.64,140.32,14.62,3.53,161
14.79,398.16,12.48,2.26,162
57.92,122.9,14.39,4.75,163
30.98,961.6,29.27,4.71,164
41.22,163.56,22.91,5.29,165
41.02,899.36,21.24,5.96,166
12.98,634.99,11.26,3.02,167
22.66,504.2,19.24,5.86,168
33.6,690.67,29.21,2.24,169
53.37,729.1,14.81,4.97,170
45.51,541.33,29.3,3.95,171
47.98,301.66,25.23,4.59,172
47.62,133.44,13.04,2.14,173
58.98,428.13,19.13,3.61,174
58.53,972.76,18.99,4.77,175
35.86,857.89,16.88,2.09,176
21.83,682.63,20.3,4.59,177
20.05,407.39,15.43,3.11,178
44.05,588.83,16.69,3.4,179
39.32,634.13,12.93,4.98,180
46.33,505.0,18.64,4.3,181
56.33,604.57,25.05,2.2,182
16.98,926.29,15.85,2.48,183
19.12,174.22,17.37,2.06,184
39.41,960.15,12.07,4.01,185
16.52,977.91,14.56,3.91,186
44.44,763.57,29.18,3.18,187
53.03,931.85,26.25,3.89,188
43.26,109.29,29.85,2.25,189
57.37,532.69,24.49,5.86,190
55.9,725.81,10.27,2.17,191
