split,design,idx,status,file,error
train,TMRDL,300,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut300.s2p,
train,TMRDL,301,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut301.s2p,
train,TMRDL,302,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut302.s2p,
train,TMRDL,303,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut303.s2p,
train,TMRDL,304,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut304.s2p,
train,TMRDL,305,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut305.s2p,
train,TMRDL,306,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut306.s2p,
train,TMRDL,307,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut307.s2p,
train,TMRDL,308,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut308.s2p,
train,TMRDL,309,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut309.s2p,
train,TMRDL,310,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut310.s2p,
train,TMRDL,311,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut311.s2p,
train,TMRDL,312,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut312.s2p,
train,TMRDL,313,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut313.s2p,
train,TMRDL,314,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut314.s2p,
train,TMRDL,315,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut315.s2p,
train,TMRDL,316,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut316.s2p,
train,TMRDL,317,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut317.s2p,
train,TMRDL,318,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut318.s2p,
train,TMRDL,319,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut319.s2p,
train,TMRDL,320,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut320.s2p,
train,TMRDL,321,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut321.s2p,
train,TMRDL,322,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut322.s2p,
train,TMRDL,323,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut323.s2p,
train,TMRDL,324,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut324.s2p,
train,TMRDL,325,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut325.s2p,
train,TMRDL,326,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut326.s2p,
train,TMRDL,327,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut327.s2p,
train,TMRDL,328,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut328.s2p,
train,TMRDL,329,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut329.s2p,
train,TMRDL,330,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut330.s2p,
train,TMRDL,331,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut331.s2p,
train,TMRDL,332,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut332.s2p,
train,TMRDL,333,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut333.s2p,
train,TMRDL,334,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut334.s2p,
train,TMRDL,335,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut335.s2p,
train,TMRDL,336,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut336.s2p,
train,TMRDL,337,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut337.s2p,
train,TMRDL,338,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut338.s2p,
train,TMRDL,339,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut339.s2p,
train,TMRDL,340,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut340.s2p,
train,TMRDL,341,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut341.s2p,
train,TMRDL,342,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut342.s2p,
train,TMRDL,343,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut343.s2p,
train,TMRDL,344,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut344.s2p,
train,TMRDL,345,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut345.s2p,
train,TMRDL,346,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut346.s2p,
train,TMRDL,347,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut347.s2p,
train,TMRDL,348,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut348.s2p,
train,TMRDL,349,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut349.s2p,
train,TMRDL,350,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut350.s2p,
train,TMRDL,351,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut351.s2p,
train,TMRDL,352,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut352.s2p,
train,TMRDL,353,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut353.s2p,
train,TMRDL,354,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut354.s2p,
train,TMRDL,355,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut355.s2p,
train,TMRDL,356,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut356.s2p,
train,TMRDL,357,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut357.s2p,
train,TMRDL,358,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut358.s2p,
train,TMRDL,359,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut359.s2p,
train,TMRDL,360,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut360.s2p,
train,TMRDL,361,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut361.s2p,
train,TMRDL,362,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut362.s2p,
train,TMRDL,363,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut363.s2p,
train,TMRDL,364,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut364.s2p,
train,TMRDL,365,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut365.s2p,
train,TMRDL,366,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut366.s2p,
train,TMRDL,367,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut367.s2p,
train,TMRDL,368,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut368.s2p,
train,TMRDL,369,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut369.s2p,
train,TMRDL,370,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut370.s2p,
train,TMRDL,371,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400\train\TMRDL\dut371.s2p,
