pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
59.06,7.67,75.73,649.11,14.26,2.74,736.3,15.95,4.8,300
51.72,13.95,88.39,724.96,21.76,4.82,465.38,26.37,3.87,301
51.08,12.29,70.57,106.58,24.4,5.57,166.67,19.56,3.55,302
40.61,13.24,53.01,637.64,14.86,5.79,770.26,11.19,3.27,303
32.3,13.13,58.02,372.47,25.44,3.23,887.99,15.79,3.65,304
45.13,6.92,86.55,359.65,26.64,3.21,285.8,27.74,2.55,305
33.64,12.6,83.08,478.39,19.53,4.38,991.14,17.99,2.72,306
44.7,7.36,50.13,617.88,11.09,2.11,520.05,13.23,2.04,307
57.39,7.88,68.71,773.38,10.48,3.03,782.29,18.57,3.72,308
43.08,7.54,80.09,481.08,18.68,5.53,574.94,18.08,4.41,309
28.47,12.65,92.01,633.22,10.57,4.33,903.53,10.81,5.29,310
43.66,7.89,90.87,556.35,10.2,5.61,172.74,29.74,5.33,311
44.94,5.17,59.16,848.43,27.19,4.79,981.42,18.84,3.71,312
37.41,4.92,90.97,262.06,19.77,5.95,827.32,23.26,2.16,313
38.81,10.98,67.51,858.06,15.0,3.67,349.57,13.67,4.57,314
37.45,6.79,60.42,624.86,16.23,5.5,951.64,24.93,2.62,315
50.64,13.9,90.67,674.64,20.33,2.86,510.19,26.12,4.84,316
44.93,7.56,66.82,511.01,28.42,2.22,122.47,20.62,2.49,317
53.95,9.54,59.47,684.98,17.46,3.92,996.27,22.83,4.62,318
58.27,14.45,92.33,641.57,15.71,2.84,961.25,25.16,2.64,319
58.58,10.85,67.3,168.38,26.3,4.7,614.65,19.18,5.41,320
34.11,4.7,69.89,817.42,28.94,4.43,325.3,16.44,2.34,321
44.79,4.12,71.01,639.8,17.02,4.0,308.08,28.38,2.68,322
46.92,9.34,76.68,608.71,12.32,4.74,818.66,29.55,2.13,323
37.26,13.09,79.65,949.14,14.07,2.49,710.75,28.08,5.91,324
47.64,2.05,55.63,841.93,19.65,2.11,226.59,20.87,4.34,325
49.05,9.45,80.52,346.84,23.89,3.29,431.6,26.21,2.72,326
28.67,5.45,52.31,877.51,16.83,3.34,854.5,25.12,2.47,327
30.03,8.85,82.43,726.17,24.34,5.74,321.27,23.58,3.85,328
34.31,11.96,72.37,307.0,13.95,5.11,927.12,21.19,4.54,329
29.18,13.61,99.03,794.94,22.33,3.13,487.09,22.23,5.32,330
57.3,11.58,52.01,855.22,29.43,4.9,848.03,24.27,3.75,331
31.55,7.23,66.92,417.88,25.48,4.5,426.93,24.04,3.73,332
59.6,2.29,69.7,961.14,18.98,4.4,258.03,21.49,2.34,333
31.58,9.18,73.66,830.22,14.16,2.41,425.97,18.32,2.07,334
32.6,11.76,67.25,200.67,22.19,2.01,715.62,17.37,3.35,335
24.72,9.71,53.64,404.26,20.06,3.58,694.47,17.6,2.33,336
18.63,7.13,88.01,634.38,12.11,5.75,957.74,12.81,5.97,337
57.06,4.35,68.14,112.01,10.05,3.68,915.11,11.91,3.45,338
27.98,11.28,82.0,657.77,12.72,2.6,644.76,14.34,4.01,339
44.77,2.58,66.06,525.72,11.83,4.55,317.48,22.78,3.4,340
38.19,4.39,83.18,235.84,22.93,3.32,682.84,18.04,4.03,341
50.01,10.15,83.83,197.31,26.52,5.21,689.39,23.23,3.44,342
28.36,6.7,61.13,565.21,13.7,2.6,637.32,22.53,4.78,343
34.25,14.99,77.16,814.85,14.96,2.42,902.87,17.32,4.61,344
58.94,12.51,66.66,751.2,23.5,3.82,692.17,29.06,5.15,345
55.45,14.8,88.91,730.61,11.64,4.3,797.57,29.69,2.86,346
53.42,10.91,65.84,355.56,28.4,2.64,490.16,27.6,5.64,347
55.16,5.75,65.19,690.16,10.31,5.7,705.58,23.91,2.38,348
42.91,4.02,62.75,597.66,19.2,3.96,727.48,22.09,4.79,349
34.62,13.0,94.37,239.64,12.28,3.62,313.94,13.52,2.15,350
51.63,13.49,95.59,265.2,28.19,4.38,506.98,20.75,5.99,351
24.63,10.94,76.59,521.26,10.69,4.27,651.02,15.67,2.75,352
36.49,7.48,82.04,381.65,14.69,2.18,943.65,10.33,4.24,353
56.94,14.83,76.44,594.58,25.67,3.8,390.94,28.91,4.95,354
47.8,3.52,76.06,967.21,25.13,2.1,372.12,21.68,4.93,355
53.84,8.28,74.6,244.31,24.98,2.03,580.18,26.56,4.2,356
36.28,13.08,79.83,529.82,10.8,2.59,507.59,18.48,4.25,357
53.12,3.69,66.26,160.95,22.1,4.76,820.65,13.5,2.53,358
36.96,10.16,91.21,800.52,23.07,3.91,663.99,25.34,5.87,359
58.64,11.06,72.51,831.4,24.75,2.79,648.84,29.53,5.36,360
44.41,3.08,53.6,261.33,20.17,2.79,918.57,25.87,3.69,361
57.33,8.73,97.12,867.21,23.6,3.23,839.72,23.03,3.42,362
50.09,8.73,75.03,368.62,21.36,3.6,823.95,10.61,4.94,363
29.25,4.89,96.62,343.47,12.69,2.89,466.99,10.58,5.81,364
37.79,12.53,56.14,798.43,23.73,3.35,578.52,15.23,2.42,365
34.56,14.77,50.29,234.31,18.57,4.52,556.3,16.83,5.72,366
51.75,5.72,79.35,764.13,19.01,3.03,103.67,11.56,3.35,367
26.78,2.13,69.83,473.39,15.48,4.98,922.48,17.87,5.45,368
38.77,8.03,63.14,371.99,16.54,3.79,746.37,24.68,3.22,369
45.56,2.7,90.01,786.75,18.11,4.04,109.61,27.95,4.66,370
31.69,5.19,77.09,414.48,27.54,2.37,945.23,24.78,3.38,371
46.3,8.58,80.16,720.7,25.05,4.03,403.67,23.84,4.77,372
39.76,3.77,95.22,166.94,28.1,3.27,447.21,19.99,3.91,373
48.34,14.06,94.41,285.41,29.08,3.12,591.72,10.79,2.96,374
41.51,12.8,65.66,968.81,20.74,5.19,202.21,21.01,4.46,375
36.21,14.24,93.94,664.56,20.94,4.23,389.07,20.11,4.87,376
56.47,3.86,98.37,292.83,23.67,3.16,989.59,12.11,2.26,377
49.63,8.26,69.03,754.97,22.08,5.91,355.55,25.03,5.6,378
56.88,6.99,63.82,943.0,23.85,5.62,630.24,28.43,3.06,379
47.69,12.1,54.58,443.12,26.02,5.84,907.52,14.22,3.69,380
56.4,11.55,69.35,779.67,17.77,3.98,536.89,27.36,4.51,381
26.07,4.6,85.47,581.24,12.47,5.47,704.97,14.15,5.5,382
30.08,3.81,56.75,997.58,26.13,4.78,841.0,20.03,4.7,383
50.58,2.72,59.63,624.0,12.24,2.35,256.95,19.41,5.56,384
57.59,14.5,98.91,504.23,28.83,2.13,223.54,20.69,3.8,385
52.07,5.88,83.54,400.74,15.08,5.89,128.4,11.83,2.44,386
45.42,8.21,67.97,192.04,19.41,3.01,544.33,24.52,5.27,387
56.27,8.18,57.6,225.28,24.53,4.32,393.55,13.64,5.53,388
55.65,3.03,64.54,494.43,13.32,2.33,521.88,28.88,2.04,389
32.35,9.35,88.8,818.73,28.8,4.71,477.16,10.9,5.03,390
