output_path,split,design,idx,status,file
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,0,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut0.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,1,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut1.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,2,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut2.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,3,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut3.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,4,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut4.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,5,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut5.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,6,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut6.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,7,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut7.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,8,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut8.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,9,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut9.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,10,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut10.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,11,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut11.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,12,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut12.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,13,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut13.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,14,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut14.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,15,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut15.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,16,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut16.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,17,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut17.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,18,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut18.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,19,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut19.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,20,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut20.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,21,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut21.s2p
