pitch,l_tmrdl,w_tmrdl,t_tmrdl,dut_index
51.38,584.84,26.71,2.07,0
57.19,320.53,22.36,4.58,1
50.99,436.06,23.01,2.58,2
55.68,605.43,21.99,2.61,3
43.36,505.96,24.64,3.14,4
43.83,468.63,26.78,4.43,5
56.08,581.59,28.32,3.63,6
42.74,123.13,23.07,3.56,7
54.97,440.92,15.49,2.39,8
51.48,457.28,11.74,2.03,9
48.08,537.63,29.51,3.97,10
41.31,599.83,29.71,4.3,11
57.71,515.81,27.74,2.88,12
55.16,211.63,12.01,3.27,13
43.29,591.37,11.77,4.11,14
58.51,677.58,23.21,3.41,15
42.12,620.62,22.25,4.74,16
47.84,463.71,16.13,3.88,17
56.75,246.32,18.45,4.64,18
55.91,460.11,11.29,2.67,19
52.65,346.02,24.56,4.93,20
55.09,322.73,20.72,3.51,21
52.06,684.61,28.79,2.05,22
48.55,316.58,17.66,3.76,23
55.3,453.92,17.19,2.34,24
48.84,426.66,23.28,3.58,25
51.13,383.86,27.81,4.32,26
40.1,647.6,22.77,3.2,27
40.58,249.2,11.61,4.01,28
57.01,245.39,14.47,4.41,29
53.71,540.59,10.83,4.77,30
50.22,476.04,28.18,2.32,31
45.39,435.2,25.02,3.4,32
47.36,364.12,29.91,3.7,33
42.81,258.59,12.83,2.84,34
50.03,357.63,19.05,2.56,35
41.66,308.23,19.73,4.22,36
52.03,623.02,12.72,2.2,37
55.41,183.59,11.43,3.35,38
51.26,488.06,17.86,2.83,39
42.48,255.46,16.76,4.22,40
53.8,504.33,11.33,2.78,41
41.45,120.52,21.85,2.97,42
59.15,304.9,15.69,2.84,43
43.43,570.71,10.48,4.43,44
42.77,254.49,16.22,3.61,45
53.43,527.3,25.32,3.07,46
54.49,686.14,22.95,2.08,47
50.16,133.83,11.54,2.24,48
56.2,558.93,16.69,2.51,49
43.66,341.94,10.13,3.6,50
58.76,454.1,20.41,2.56,51
52.79,166.19,12.79,3.26,52
57.07,394.93,22.53,3.14,53
47.47,157.71,25.11,2.5,54
48.04,191.33,16.89,4.78,55
42.51,286.22,28.1,4.11,56
47.03,515.24,17.73,4.99,57
