h_tsv,r_tsv,pitch,l_tmrdl,w_tmrdl,t_tmrdl,l_bsmrdl,w_bsmrdl,t_bsmrdl,dut_index
90.4,13.35,59.24,113.94,21.38,3.04,118.58,12.1,4.39,0
68.38,11.18,40.93,616.82,27.19,2.85,419.74,29.73,4.73,1
78.01,11.51,55.82,216.61,20.99,4.25,415.08,25.39,3.28,2
92.12,11.0,48.43,221.64,25.68,3.84,228.45,18.7,3.37,3
83.83,12.32,57.4,328.33,13.36,4.26,644.89,11.63,2.89,4
80.72,13.39,48.17,585.44,13.83,4.4,252.91,17.59,2.13,5
90.13,14.16,52.68,426.01,26.08,4.44,405.05,14.86,2.69,6
51.93,11.53,50.63,411.64,12.74,3.8,199.29,24.77,4.43,7
78.41,7.75,58.84,178.52,24.97,3.17,190.94,25.0,4.47,8
79.77,5.87,55.61,105.31,21.48,2.38,403.51,18.99,2.52,9
86.47,14.75,54.68,493.63,18.08,3.33,370.56,16.16,4.39,10
91.65,14.86,52.19,559.62,11.31,2.52,207.31,28.93,2.23,11
84.65,13.87,59.54,276.76,27.71,2.27,477.87,23.84,3.77,12
59.3,6.0,54.2,354.12,25.16,3.96,394.12,13.33,3.1,13
90.95,5.89,45.87,521.29,13.29,3.06,409.82,25.19,4.36,14
98.13,11.61,56.82,383.0,28.51,2.97,247.71,13.27,4.59,15
93.38,11.13,55.87,648.96,12.12,3.74,371.79,25.61,4.8,16
80.31,8.07,54.62,475.01,17.84,3.18,226.75,27.21,4.06,17
62.19,9.23,42.23,627.2,26.75,3.37,232.25,29.18,3.32,18
80.01,5.65,49.11,234.11,25.91,4.52,448.03,14.6,4.23,19
70.5,12.28,42.44,685.1,22.65,2.61,153.57,19.2,3.07,20
68.56,10.36,44.83,402.9,25.09,3.92,496.54,29.26,4.45,21
98.72,14.4,42.58,110.44,22.06,2.22,468.53,26.16,2.36,22
68.05,8.83,49.79,451.58,18.55,3.5,258.91,12.37,3.24,23
79.49,8.6,54.71,168.94,25.3,2.72,625.43,11.27,3.4,24
77.22,11.64,52.43,415.28,18.84,4.58,143.93,10.36,2.88,25
73.65,13.9,59.93,563.41,21.13,4.72,295.86,20.17,3.64,26
95.63,11.39,57.38,340.77,10.1,2.86,136.38,11.18,2.95,27
62.43,5.81,59.81,501.94,10.58,2.62,558.38,27.43,3.34,28
62.12,7.23,43.16,581.98,27.01,4.66,298.59,20.23,2.27,29
86.72,5.42,46.86,653.88,23.71,4.34,501.91,14.73,3.91,30
81.34,14.09,57.05,164.51,20.22,2.13,635.72,13.19,4.2,31
77.93,12.51,53.72,379.46,15.39,4.19,316.32,24.92,4.76,32
72.01,14.96,54.03,440.64,17.36,3.12,451.63,28.57,2.43,33
63.22,6.41,49.33,267.9,12.81,4.59,110.55,15.81,2.39,34
71.47,9.53,51.04,212.96,20.03,2.04,487.6,19.63,4.86,35
67.35,9.87,52.2,544.81,11.66,2.8,683.13,14.8,3.41,36
93.59,6.36,47.05,139.49,22.03,3.98,423.19,29.33,4.16,37
56.97,5.71,57.22,370.06,25.41,3.23,546.89,16.38,3.96,38
82.34,8.93,50.28,266.26,21.26,4.79,430.98,14.79,2.19,39
62.96,8.38,58.02,543.75,12.48,4.07,410.98,17.63,3.16,40
83.69,5.67,53.98,255.78,23.8,4.63,213.24,19.79,4.44,41
