h_tsv,r_tsv,pitch,dut_index
67.39,5.31,42.1,0
64.13,10.33,59.73,1
87.47,10.25,55.39,2
80.66,7.14,48.7,3
87.71,14.08,41.63,4
89.98,7.55,47.59,5
90.75,10.08,44.86,6
80.06,6.65,54.77,7
69.44,6.52,55.0,8
56.34,10.06,48.99,9
72.22,9.51,46.16,10
58.74,6.79,58.93,11
54.49,11.3,53.84,12
82.63,9.9,43.33,13
67.66,10.16,55.19,14
66.23,7.46,43.27,15
78.92,9.53,55.61,16
69.65,7.11,57.21,17
72.76,7.2,59.18,18
91.94,10.8,44.6,19
60.13,5.89,49.2,20
81.93,11.61,59.26,21
53.6,11.14,56.16,22
74.99,7.65,42.37,23
61.95,13.76,41.27,24
93.01,5.73,40.36,25
95.31,8.26,50.17,26
64.27,5.61,41.18,27
60.39,12.64,57.43,28
94.33,8.31,50.23,29
88.95,11.7,44.73,30
52.21,13.93,43.19,31
86.57,8.61,54.92,32
68.68,10.86,58.57,33
93.15,5.18,45.81,34
50.67,11.46,49.63,35
63.41,14.72,44.8,36
83.07,10.39,59.33,37
70.54,12.45,46.38,38
96.49,10.52,44.79,39
84.42,10.18,47.63,40
93.91,6.89,49.79,41
92.76,8.95,59.97,42
84.97,13.28,53.13,43
61.56,7.8,56.33,44
99.64,6.91,48.5,45
95.05,12.59,49.28,46
56.96,8.25,56.8,47
56.2,9.31,45.09,48
60.35,12.96,44.12,49
69.81,10.91,49.42,50
50.95,14.4,58.53,51
71.08,12.83,45.96,52
89.37,11.86,54.73,53
63.75,9.94,43.44,54
64.87,6.39,55.34,55
96.51,11.56,44.01,56
68.3,13.23,47.13,57
91.85,8.4,42.7,58
94.2,12.13,50.78,59
78.51,6.73,50.41,60
65.46,9.47,44.43,61
76.83,9.23,53.34,62
73.33,5.29,51.32,63
85.34,14.86,51.77,64
76.21,14.95,40.82,65
77.36,8.46,40.59,66
92.35,9.57,47.52,67
74.56,11.22,55.65,68
58.83,12.74,49.7,69
59.62,6.34,56.14,70
67.0,13.68,45.93,71
87.35,8.53,51.84,72
51.36,12.38,58.08,73
93.6,5.99,43.93,74
70.0,10.48,59.35,75
82.94,6.23,52.21,76
97.92,13.17,45.56,77
93.31,9.38,56.88,78
65.62,13.08,44.1,79
80.97,11.34,41.52,80
81.18,9.08,50.48,81
70.71,13.06,56.66,82
54.32,10.53,44.92,83
78.0,13.79,55.88,84
90.39,7.48,50.96,85
62.25,7.69,55.76,86
57.17,6.43,51.08,87
74.38,9.19,45.21,88
52.69,14.16,44.28,89
88.29,10.72,42.18,90
87.15,14.97,57.05,91
83.86,8.43,56.38,92
87.04,14.76,51.26,93
88.69,10.64,50.84,94
77.01,12.25,43.88,95
54.82,9.49,46.42,96
86.63,8.91,58.33,97
71.94,11.0,45.38,98
67.51,14.5,48.8,99
86.1,14.68,52.11,100
99.9,10.84,49.36,101
64.91,9.78,55.54,102
73.85,14.28,56.56,103
51.94,14.12,58.02,104
54.62,5.54,51.56,105
96.7,11.08,46.87,106
53.18,13.56,53.05,107
82.27,8.56,44.33,108
59.43,5.95,40.0,109
62.18,11.95,50.58,110
85.57,7.74,52.49,111
55.57,10.96,53.17,112
67.21,14.42,58.5,113
60.62,7.24,45.69,114
82.25,7.58,51.21,115
57.45,6.08,44.58,116
95.96,8.52,47.32,117
69.08,9.62,52.06,118
84.51,7.33,52.15,119
99.49,13.89,45.88,120
52.56,8.2,46.46,121
88.85,5.45,51.2,122
82.42,6.17,41.13,123
75.1,12.99,46.13,124
89.01,14.91,47.41,125
53.43,14.21,42.94,126
61.32,5.57,41.49,127
53.67,6.47,46.5,128
57.54,6.85,59.64,129
81.49,8.89,46.08,130
61.15,12.01,55.44,131
57.73,12.82,44.5,132
80.43,12.36,46.85,133
66.64,8.59,57.75,134
72.0,6.69,46.32,135
90.27,12.93,50.69,136
98.42,9.27,41.31,137
81.74,14.02,57.67,138
86.16,12.57,55.07,139
57.77,14.3,53.02,140
84.0,9.68,51.36,141
63.29,6.81,45.01,142
55.77,8.87,54.29,143
50.32,6.3,56.01,144
61.84,8.02,57.04,145
97.09,11.1,51.02,146
52.38,11.54,48.44,147
71.73,12.09,51.49,148
85.01,14.13,40.28,149
54.89,5.6,47.71,150
73.09,9.59,57.65,151
99.04,5.64,50.26,152
98.16,9.9,45.63,153
64.41,14.84,51.89,154
83.31,13.62,58.99,155
82.5,10.68,48.26,156
62.61,13.9,55.71,157
88.44,14.59,50.32,158
56.09,6.93,51.54,159
81.51,5.85,52.77,160
96.24,13.13,40.77,161
58.27,14.49,55.14,162
66.4,14.44,44.67,163
96.03,11.05,54.16,164
66.77,10.9,58.18,165
60.97,10.73,59.51,166
58.93,5.97,54.56,167
94.97,14.47,53.54,168
97.39,6.01,54.67,169
65.65,10.05,47.37,170
79.81,10.46,52.57,171
79.19,12.9,56.05,172
79.52,12.28,41.81,173
71.31,8.06,58.14,174
70.18,12.04,47.94,175
58.22,5.11,53.75,176
91.02,13.25,48.6,177
85.16,5.92,58.21,178
92.73,10.45,58.8,179
95.6,12.42,55.3,180
85.99,7.51,48.08,181
65.83,14.6,42.77,182
68.57,13.45,45.73,183
83.97,11.39,58.61,184
66.02,5.36,52.84,185
68.91,5.71,41.08,186
52.78,7.06,57.17,187
78.27,13.21,51.42,188
76.97,10.01,46.58,189
55.22,8.35,59.09,190
92.52,10.94,42.31,191
87.92,8.94,48.17,192
78.0,6.98,41.91,193
52.37,13.18,40.98,194
53.89,5.27,53.24,195
84.22,10.61,51.95,196
87.86,13.85,57.51,197
67.9,6.21,52.68,198
73.19,8.99,40.21,199
74.08,10.21,58.43,200
62.0,8.17,59.86,201
53.05,5.02,47.97,202
97.81,14.9,54.98,203
79.1,10.78,54.04,204
