pitch,l_tmrdl,w_tmrdl,h_tmrdl,dut_index
16.92,508.2,14.88,2.19,700
36.59,586.81,13.09,4.56,701
46.99,220.68,24.45,4.81,702
38.8,152.36,22.91,5.49,703
29.59,641.01,28.15,3.16,704
36.83,231.61,29.16,2.97,705
41.64,446.05,14.64,4.59,706
48.22,855.65,26.16,4.49,707
45.43,701.7,28.67,5.4,708
35.18,440.19,25.22,2.25,709
23.7,924.99,14.58,5.76,710
59.73,180.43,19.54,2.88,711
26.09,737.09,18.21,5.52,712
38.5,667.06,17.54,4.97,713
52.45,884.69,25.89,4.8,714
50.52,589.63,28.96,3.16,715
43.02,960.06,28.87,5.94,716
29.21,416.78,20.91,5.02,717
41.34,677.73,22.98,3.35,718
22.2,654.75,16.75,2.95,719
31.06,537.48,17.4,4.07,720
31.98,355.2,15.84,4.12,721
21.72,823.17,11.46,5.2,722
52.44,388.68,22.64,4.9,723
18.79,899.22,17.76,5.22,724
40.37,928.03,25.9,2.56,725
39.18,409.7,11.51,5.01,726
41.56,160.91,16.2,5.1,727
49.37,282.61,19.36,5.3,728
58.99,191.22,24.0,4.71,729
37.95,881.38,20.22,5.6,730
24.16,459.97,21.55,4.7,731
34.05,938.27,17.8,3.53,732
44.3,460.25,19.91,5.49,733
40.78,776.98,20.81,2.45,734
30.31,228.28,12.32,3.37,735
45.84,989.39,17.92,4.6,736
27.92,834.36,26.6,5.27,737
53.93,433.68,29.65,4.12,738
56.35,315.71,12.16,2.08,739
18.31,791.17,17.0,5.5,740
19.42,657.04,17.04,3.83,741
21.49,814.92,10.46,3.76,742
22.01,158.39,15.09,2.48,743
32.44,184.22,11.67,2.93,744
45.73,665.82,29.75,2.49,745
33.1,849.23,16.17,5.17,746
40.55,140.15,15.31,5.43,747
57.5,945.46,25.83,2.09,748
30.29,367.44,15.52,4.38,749
38.15,362.08,29.83,3.3,750
58.21,454.0,16.71,5.43,751
46.71,467.97,26.28,5.56,752
51.78,688.77,26.77,5.8,753
52.62,289.69,21.4,4.24,754
41.05,757.22,12.96,2.17,755
46.12,337.7,29.04,4.45,756
29.34,844.67,21.23,2.11,757
21.87,753.5,18.75,5.03,758
37.27,132.08,16.75,5.19,759
34.9,145.12,24.67,3.27,760
46.65,142.24,23.94,5.59,761
53.75,128.92,12.33,4.24,762
33.97,376.84,11.49,5.67,763
14.46,649.01,12.65,5.48,764
32.76,592.85,24.89,2.54,765
13.06,339.94,10.86,4.66,766
52.5,886.95,17.78,2.69,767
55.06,922.86,18.03,5.33,768
27.11,902.71,23.1,5.07,769
16.7,772.55,14.07,3.79,770
29.26,383.44,13.86,2.71,771
26.2,278.77,15.81,3.13,772
36.3,735.72,13.9,2.66,773
26.91,774.85,24.61,3.14,774
42.18,873.85,20.17,5.93,775
33.65,217.69,27.5,3.21,776
25.23,950.14,23.86,4.22,777
