pitch,r_tsv,h_tsv,dut_index
54.32,13.94,92.78,700
40.35,3.07,63.7,701
45.55,2.3,53.53,702
43.45,7.98,89.24,703
46.69,5.12,83.37,704
32.12,2.19,61.05,705
55.79,9.91,86.39,706
24.96,7.44,81.63,707
57.88,4.4,60.57,708
37.95,12.32,91.9,709
44.64,7.09,57.57,710
26.59,6.98,92.14,711
46.25,13.21,99.75,712
56.52,7.03,69.58,713
45.69,6.73,54.81,714
39.46,4.73,97.13,715
41.93,10.04,82.83,716
59.98,6.57,97.81,717
59.13,11.18,65.09,718
23.63,9.45,89.41,719
12.57,4.19,72.73,720
11.26,4.71,51.48,721
58.69,6.59,72.42,722
43.33,13.2,64.2,723
36.03,11.32,86.61,724
57.16,14.96,97.27,725
34.16,14.5,54.82,726
56.12,9.95,98.4,727
39.25,5.34,86.65,728
53.14,13.92,81.23,729
36.97,13.16,56.27,730
41.66,2.71,84.99,731
55.59,3.31,63.44,732
41.64,10.41,96.94,733
26.34,7.27,88.85,734
17.37,7.71,77.69,735
18.89,6.9,69.16,736
58.57,9.46,74.48,737
49.48,12.1,99.13,738
48.4,6.52,69.97,739
30.58,9.18,88.19,740
18.37,8.18,99.24,741
49.14,13.56,97.47,742
45.66,7.85,71.02,743
37.44,6.56,95.34,744
28.66,3.1,84.68,745
48.33,4.59,90.16,746
32.82,14.83,61.36,747
30.89,5.03,84.74,748
44.73,7.56,75.8,749
57.29,4.35,76.81,750
30.32,2.74,57.0,751
27.81,8.73,58.09,752
49.43,8.5,59.81,753
23.84,8.33,93.27,754
44.93,13.15,72.14,755
33.0,14.8,70.16,756
25.13,4.29,70.4,757
39.24,7.95,68.07,758
24.08,7.16,62.13,759
33.77,8.67,70.29,760
44.87,13.13,76.74,761
32.87,2.16,81.48,762
24.83,4.98,83.84,763
52.73,11.28,91.61,764
35.3,11.74,63.4,765
59.12,14.72,52.51,766
53.74,3.57,61.64,767
44.78,10.68,95.39,768
52.64,13.66,82.2,769
15.04,6.23,54.0,770
49.9,8.89,83.18,771
26.33,6.34,83.3,772
37.64,7.39,61.39,773
36.32,4.37,80.51,774
57.78,12.33,98.75,775
56.24,6.45,82.68,776
28.05,5.9,98.69,777
42.53,12.91,70.01,778
51.21,3.53,71.24,779
43.62,14.82,75.63,780
42.06,6.77,68.18,781
58.45,14.44,63.05,782
24.57,8.8,56.86,783
25.33,11.38,98.05,784
38.2,12.64,79.79,785
35.11,14.0,98.9,786
34.88,3.2,85.14,787
52.79,10.38,57.45,788
40.18,10.28,65.5,789
21.99,6.17,89.63,790
42.98,3.73,67.3,791
51.54,8.01,64.49,792
24.54,4.83,68.42,793
46.58,11.53,95.3,794
58.11,9.62,64.6,795
26.49,9.57,99.94,796
53.48,5.62,73.05,797
54.21,14.54,94.62,798
48.4,12.06,88.92,799
45.47,11.04,59.07,800
35.63,4.53,77.14,801
58.55,9.81,53.69,802
58.44,14.06,57.88,803
29.25,3.42,53.27,804
37.3,8.7,97.12,805
43.57,5.65,91.82,806
25.39,8.95,79.48,807
37.96,4.42,75.9,808
32.3,5.21,74.93,809
18.38,6.16,69.39,810
18.7,2.06,85.68,811
24.4,10.82,51.76,812
55.05,14.3,63.27,813
38.31,14.16,78.97,814
38.81,13.61,62.64,815
59.89,8.92,99.01,816
42.06,13.8,81.97,817
20.47,6.3,78.14,818
30.91,11.21,70.84,819
51.22,10.95,52.8,820
30.83,5.51,64.11,821
45.91,7.81,54.44,822
32.01,8.22,59.42,823
8.08,2.41,58.23,824
32.79,2.73,88.95,825
38.44,9.43,59.16,826
59.87,13.44,52.82,827
40.24,10.4,82.38,828
56.18,8.87,68.51,829
53.66,14.27,85.57,830
46.28,8.44,52.32,831
43.68,13.82,52.25,832
33.07,6.18,98.82,833
58.46,9.75,96.05,834
49.92,4.31,89.72,835
50.05,11.75,61.85,836
27.34,12.12,99.58,837
26.64,4.99,81.53,838
57.75,4.5,75.12,839
50.31,10.44,88.08,840
53.0,9.71,98.1,841
28.93,12.88,56.34,842
11.79,2.83,99.26,843
43.43,5.62,90.46,844
48.14,13.09,77.5,845
43.79,10.55,82.6,846
50.78,7.94,75.52,847
27.89,10.24,99.63,848
44.2,8.47,70.5,849
41.94,5.08,80.86,850
49.35,9.85,58.16,851
53.56,12.53,72.05,852
8.78,3.48,68.3,853
14.14,3.04,61.99,854
40.37,14.38,68.79,855
55.09,3.96,74.7,856
34.83,11.26,89.48,857
50.92,13.44,95.95,858
33.86,9.39,96.52,859
55.21,7.83,83.64,860
32.15,10.65,71.26,861
47.46,11.58,66.42,862
18.01,7.42,72.09,863
19.58,3.14,81.16,864
39.27,12.55,92.73,865
36.73,13.19,51.32,866
11.3,4.18,80.91,867
28.44,12.57,82.15,868
58.62,9.36,91.22,869
44.7,4.82,62.11,870
39.05,4.43,58.46,871
31.15,11.93,85.06,872
33.56,3.28,79.92,873
38.8,10.19,64.18,874
26.96,11.7,60.39,875
45.98,8.69,87.21,876
19.9,3.4,72.31,877
36.8,13.9,58.06,878
37.12,10.34,99.41,879
35.38,14.04,95.71,880
54.11,5.84,90.01,881
54.25,7.9,59.85,882
38.26,12.42,67.71,883
54.75,10.45,89.59,884
59.4,10.26,51.94,885
43.24,5.79,63.86,886
27.35,11.35,70.97,887
35.51,8.65,57.81,888
29.92,14.4,65.41,889
53.12,12.77,66.96,890
53.22,12.16,51.51,891
56.71,6.38,77.12,892
39.82,6.64,69.77,893
58.71,8.32,96.59,894
27.45,3.09,68.87,895
59.41,2.16,67.61,896
36.72,8.83,56.59,897
58.89,5.74,69.83,898
49.66,14.19,71.07,899
50.93,14.56,92.81,900
13.78,3.3,78.04,901
46.15,5.99,65.62,902
52.63,7.64,64.0,903
18.26,6.26,50.43,904
50.55,14.64,87.78,905
49.34,14.26,65.64,906
45.24,3.78,68.34,907
44.41,2.57,62.69,908
56.41,9.18,53.2,909
25.4,5.26,91.02,910
48.43,2.6,55.33,911
31.72,3.11,76.1,912
59.65,6.36,85.38,913
16.27,6.05,73.33,914
11.53,2.57,88.62,915
18.71,8.16,91.81,916
42.39,3.2,52.44,917
34.27,13.74,76.36,918
29.7,3.91,69.33,919
26.2,4.27,87.62,920
58.03,5.47,67.06,921
41.56,14.7,87.45,922
27.07,12.6,96.32,923
19.31,6.47,77.53,924
54.51,6.92,85.85,925
48.76,9.69,74.23,926
57.33,5.24,81.26,927
47.13,8.02,91.16,928
29.75,8.16,70.67,929
26.65,2.83,77.77,930
38.72,14.4,87.31,931
46.82,12.84,79.54,932
37.88,5.86,60.28,933
47.31,5.45,98.55,934
34.48,5.22,54.63,935
47.42,7.69,92.52,936
16.43,3.95,93.22,937
35.68,11.72,52.43,938
30.89,4.64,78.45,939
16.84,4.65,97.57,940
48.15,9.31,91.34,941
48.15,2.33,84.54,942
50.54,10.53,98.18,943
36.2,4.34,72.64,944
45.66,12.53,70.6,945
54.66,5.17,79.7,946
53.96,8.59,90.22,947
30.58,6.21,84.06,948
16.27,6.47,62.78,949
23.09,9.03,70.45,950
28.88,4.97,88.54,951
49.55,6.08,94.29,952
51.15,8.78,68.5,953
56.84,8.57,85.45,954
29.95,4.86,78.81,955
53.16,8.26,94.33,956
54.78,5.07,60.56,957
40.11,2.47,67.1,958
58.45,11.68,75.44,959
39.2,8.23,51.61,960
29.49,2.37,72.46,961
46.76,12.21,76.88,962
59.61,8.43,98.36,963
55.67,2.03,90.4,964
41.44,14.09,91.12,965
58.88,2.49,97.32,966
49.61,11.02,73.8,967
18.0,5.43,99.86,968
56.3,10.0,62.42,969
35.51,6.03,61.26,970
15.13,5.16,67.82,971
56.23,14.73,97.9,972
59.24,9.16,70.71,973
38.73,6.32,83.07,974
51.26,8.05,57.95,975
36.62,12.73,71.48,976
14.5,2.97,55.42,977
41.14,10.97,84.13,978
32.23,13.88,59.66,979
56.71,11.6,59.23,980
27.54,6.29,78.52,981
57.64,13.73,78.72,982
29.8,9.64,95.01,983
58.8,10.6,63.9,984
43.52,12.3,61.17,985
34.8,12.02,94.01,986
29.36,6.96,93.37,987
33.09,8.84,71.89,988
40.09,14.34,63.65,989
48.35,3.5,63.12,990
37.73,2.4,90.53,991
41.68,3.99,90.93,992
27.15,9.1,55.47,993
42.4,9.92,90.97,994
31.23,3.35,59.3,995
37.22,2.67,54.95,996
25.6,11.51,78.58,997
36.08,10.47,58.9,998
