l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
332.81,24.15,3.74,75.89,49.14,626.9720187230711,1613.0013294662147,1845.0570404565947,807.0851499202088,653.8880451381198,26.81575273039717,107.51174983307274,37.08130106164945,0.04664020662579505,0.006515296283715023
400.65,15.01,4.9,74.27,41.05,790.5253743038431,1828.2762770932059,2077.9758155027416,832.2321236991664,255.79207861409557,29.3420801935204,83.58998196341548,39.52236287878918,0.046283396628381546,0.010223589711281315
655.4,22.91,4.83,82.58,52.73,584.4442236773946,1071.0667230473218,1269.864734287341,796.0006478751836,122.16246599397388,24.086431525482183,105.0878742020606,34.9176397188823,0.049465937026074845,0.009149239138184205
477.76,15.85,2.33,95.61,50.18,1263.8018070935732,4871.165129065839,2686.2426077758387,1003.5935627036342,1298.3164878343214,20.011839214025645,81.74762062830446,33.93198896268725,0.0536757132303881,0.007454283869315169
307.42,26.47,4.23,79.47,41.59,587.981233198511,1116.8289574719618,1943.8619178297718,644.7546869196331,579.8024722497956,30.351543850065973,120.04182318288828,46.26674803530677,0.03775461660787022,0.012879288131251365
151.68,25.53,2.92,78.63,51.49,891.5043873761076,2631.547717978306,2362.166806943267,975.7829805257445,847.5347058112185,26.370140260734914,110.19587925765524,36.78556224021987,0.046452169604384724,0.007367514567998683
403.9,20.1,3.74,86.11,58.86,674.2448649633828,2065.027823392924,1710.5483657638788,984.0964800309291,522.7828219744944,25.11617674743067,92.78516739281142,31.074313047152692,0.055626687833721766,0.005938676854113915
291.84,15.7,4.28,76.53,52.63,756.9543206528976,2550.289749643935,2185.0413789248496,1049.9617899589953,577.270546184762,31.134037010332502,81.53661470865457,32.59160456614475,0.0546388073406674,0.014432903654785837
590.67,20.41,3.72,51.77,46.14,711.5947841623044,1977.2902010658463,1785.2399539662135,791.6069410812788,306.09857124612023,24.794342186497175,96.49892384803665,34.47533978147537,0.050441413027165725,0.005937188577834917
216.98,22.36,2.45,98.51,54.42,1061.6489568692311,3787.256400424832,2525.3269221647415,1067.8742199189755,1557.3629571404197,21.604038086871103,99.99998836544081,34.25767953126,0.050512450214187835,0.019648195206163368
125.96,10.1,4.21,63.95,59.58,1097.7835266978423,5996.708052804641,3328.429949483789,1479.132270107104,916.6487600543488,40.06846071924573,63.07294821485868,29.02302369271167,0.06092616480304742,0.022443390627963373
623.66,26.91,2.48,93.51,59.02,795.3687234245627,2102.1453888101855,1424.4390823109213,860.1390303669056,852.7319380056441,14.331526800464328,112.51606190878388,32.927986904136496,0.05053712297425401,0.014632038674189128
289.03,26.82,3.14,58.84,48.35,726.4376163922276,1712.3609714967868,2033.0284883541142,782.4155678352229,894.7039160547761,24.7683742039934,114.61740553630307,37.06143687538424,0.04577484634502848,0.010704175658159367
397.13,22.02,3.82,82.07,42.22,667.9843110573632,1638.7413989815764,1951.5202658917071,722.0087655204743,488.40424881999564,27.55816982113151,104.92557802089823,42.116221910401386,0.04229269586868802,0.013517040919931285
147.12,15.7,3.21,50.58,57.17,1024.066533745609,5383.9688044102195,2836.9824477075576,1306.678685988127,1118.5586762668404,30.676775138395026,77.72143090309261,28.09040935004515,0.0607702847180345,0.00842470776575414
154.17,28.14,3.28,95.03,56.61,748.0629392502971,2223.8489197451413,2117.5774095667175,1000.9352150030779,809.7588899969112,27.68333071651998,116.5990190245244,35.78763843042397,0.04694943559147287,0.005692260570420586
683.56,22.1,4.55,78.53,44.62,655.6700811468163,1285.5866617477209,1466.5903900920794,725.3181558421951,98.56295400233437,25.23044270114385,106.70539242916217,39.94884911252751,0.044318285426994966,0.015855682367930005
460.31,17.78,3.08,60.17,48.93,899.7496899401812,3058.936129200317,2204.8595399822234,914.942055485322,580.8632652479308,23.824141874148783,87.76427390841269,32.93059284515288,0.0535371623451055,0.009080975802299208
359.58,16.92,4.34,82.72,55.38,702.269120211336,2083.6615361665354,1922.6175150093602,1011.7517783767659,450.1878072721704,29.059618815253568,84.66080191156206,31.869698108893743,0.056072194109149896,0.0057694667888312625
443.54,22.08,3.8,71.6,51.74,630.7272280743356,1702.107990467694,1682.3530135600581,840.872979486834,471.020744455275,25.00161555770594,100.85610679510344,34.120463623768,0.05064086870434476,0.010513172361702188
698.5,26.8,3.98,79.98,55.49,552.7690495797068,1260.5010729580831,1176.3470058405644,784.1533713047128,219.9496081021271,21.539374407696084,113.77510650759513,34.260670359343344,0.049032167624286395,0.014529943715666621
