l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
336.32,28.33,3.61,98.36,40.29,696.1813471,3981.119116,1853.974707,584.049672,76.37373256,35.85149192,168.6861807,150.1011319,0.043861713,0.001919554
349.47,29.89,3.08,94.08,42.16,711.9304121,11255.70622,1812.238785,598.2672451,99.05580335,35.22134299,175.4949608,146.705516,0.044877459,0.002177468
273.04,29.93,4.8,74.01,41.92,569.0675304,2077.219748,1898.713844,563.222772,15.52617685,41.26166309,176.9471961,151.1582409,0.045204489,0.00313031
505.58,29.38,3.2,72.15,41.3,639.8564169,26439.71986,1731.004135,569.3188634,461.9929208,34.73404933,175.0824226,145.8500005,0.045770404,0.00253907
125.51,25.84,2.29,99.91,40.46,1209.035221,44837.247,2006.802741,811.2866096,627.7027242,40.67824859,153.4193765,141.5210783,0.046777294,0.001782485
475.05,28.67,3.32,66.29,42.03,616.4451883,23833.29833,1716.288899,595.7499186,480.5060513,34.01257928,171.5834693,139.627423,0.047836418,0.002667511
307.42,26.47,4.23,79.47,41.59,608.7112919,2895.62008,1826.322116,640.1440351,124.8349123,34.60056471,158.6012719,137.2733283,0.047893873,0.00262327
543.12,28.08,2.71,95.86,43.37,727.7760346,24674.43507,1499.705681,642.2167572,5344.83247,31.14043783,165.7933668,133.0778217,0.047934078,0.002232444
156.34,26.16,2.08,82.45,40.81,1399.025441,8228.193626,1670.868504,783.6876224,42.15230261,40.30331166,154.2418998,138.0382506,0.048001484,0.001959525
445.93,27.05,4.91,73.65,42.92,558.9031656,1189.641871,1501.615142,610.2657841,74.57736817,39.53410261,163.5840668,133.2311932,0.048154602,0.00569139
155.51,27.71,4.39,76.22,43.99,674.9850041,2830.727065,2010.049581,721.290108,63.57369317,39.15623362,164.7232833,137.8869326,0.049107802,0.002486868
665.08,24.14,4.22,66.86,40.2,518.9912784,19067.86685,1644.874557,622.5851224,988.0559856,36.02360388,151.0587538,131.0264801,0.049411468,0.002025939
473.25,27.46,4.73,71.65,44.09,501.6876854,4427.204377,1520.705987,620.8739913,291.4009623,39.00341482,166.0144724,130.6313364,0.049450022,0.004271031
549.68,25.27,4.58,69.24,41.66,500.6892848,10764.52618,1598.236125,622.4680773,498.9129207,37.83155334,155.6930516,130.8507762,0.049457521,0.002589545
588.77,29.05,3.2,85.22,45.7,584.7899107,22539.01168,1480.92863,638.6669324,44220.1223,31.40817107,173.1310417,129.5243979,0.049498162,0.00268521
546.64,29.64,3.95,82.56,46.38,481.1399979,21976.47389,1525.774111,623.7330136,1580.919297,32.90925963,175.7116598,130.4919224,0.049534956,0.002613881
437.79,29.78,2.54,99.24,48.14,790.3210652,13120.63296,1326.976109,698.5291143,300.9109303,30.3325659,174.440631,125.5815428,0.050482998,0.002458616
238.91,24.87,3.44,77.77,42.22,734.0609449,6908.251821,1950.375666,732.5216043,110.3465153,35.1836956,149.2086705,129.2978473,0.050492206,0.001939567
515.46,29.46,4.01,54.44,43.28,499.9512126,15487.47793,1673.494663,580.2365798,964.2652537,34.58416389,176.5857367,136.1614459,0.050499487,0.003240831
487.65,26.91,2.03,98.96,45.8,1129.8916,5662.507138,994.2062989,726.4196356,53.32273541,33.35920872,159.9251373,122.428395,0.051199102,0.002274996
512.96,22.19,2.37,87.51,41.07,1021.638538,9636.816571,1374.904831,740.6043008,141.7851228,32.62682896,136.8242149,121.3372439,0.051513082,0.001764419
581.9,28.77,4.29,70.57,46.62,446.5274767,43792.18837,1462.386293,630.6845796,1834.066856,33.92695063,173.7049723,126.3889568,0.051618347,0.002745708
141.67,28.5,2.83,97.8,48.65,872.1910108,56440.18589,2063.562875,877.8880478,709.3042493,36.39724892,165.948064,126.5115885,0.051935331,0.002023111
388.67,26.48,4.14,96.11,47.12,512.7244241,14953.45881,1614.323441,712.0932248,454.5730435,34.88990201,158.0994854,121.6069035,0.05203761,0.001886669
575.56,28.14,2.98,86.73,47.87,671.4499273,8901.077669,1333.928526,691.3157711,557.0247311,28.01445572,168.1359868,121.2390748,0.052079079,0.002683846
100.5,27.7,4.94,74.83,47.91,779.6514396,1784.255343,2106.765373,865.4312316,94.6153624,38.31275412,166.2490206,133.1321336,0.052172569,0.003176323
110.65,18.44,4.79,83.67,40.2,827.6295649,2780.341884,2350.876636,917.7703504,146.2360987,39.25004891,120.6390818,126.1887883,0.052334658,0.001634281
379.58,28.99,3.08,70.01,46.64,644.3179524,47503.20573,1630.729307,687.1018746,3049.68291,31.53412369,169.5909739,125.3677815,0.052420117,0.002722079
397.13,22.02,3.82,82.07,42.22,607.2854617,17322.4213,1842.550809,736.1942398,1880.178942,34.60448933,136.6498646,120.6129156,0.052512134,0.001602712
669.59,28.7,3.08,65.36,46.22,613.4969879,28371.57871,1379.896836,649.7371456,1664.039196,30.21685069,171.1187482,123.9017086,0.05261188,0.003099086
202.14,28.42,3.55,55.9,44.33,761.6251737,3619.343839,1914.517208,706.5520584,70.55252663,34.7924661,166.661093,131.8542111,0.052645811,0.003058629
112.28,25.17,4.08,93.33,47.09,793.6211209,3610.190582,2238.338022,921.3312783,161.9923204,37.42369259,152.4983732,126.3694835,0.052666785,0.00208903
436.95,24.01,2.54,93.28,44.48,899.9875046,10859.67908,1438.327449,759.5588024,223.3548327,31.48270556,145.7423587,118.7228641,0.05269288,0.001915993
599.38,28.13,4.48,68.86,47.14,436.1680643,7907.106328,1443.694878,643.7607464,3349.004814,33.55026036,171.0389471,123.3912844,0.052696358,0.002659885
592.1,29.97,4.08,89.55,50.9,438.2758881,2948.915736,1361.1424,672.1741522,4652.212563,31.61265642,177.6711455,120.3926505,0.052698326,0.00286867
224.07,24.68,3.61,68.94,43.75,751.0833161,4209.5899,1924.848233,763.6647724,70.14271582,35.21759117,149.2996965,124.7925565,0.052847448,0.002164989
402.18,24.32,3.7,96.08,45.99,576.6178349,28380.34428,1696.235705,744.8292573,1507.552533,33.29596439,148.072241,118.6312849,0.053040002,0.001968408
643.5,23.76,2.49,56,41.47,887.0562974,15530.59069,1357.500199,695.0668847,261.6044874,32.88850495,147.2947013,120.9223887,0.053718102,0.002554756
108.1,24.09,2.43,70.85,44.25,1185.364795,69527.18089,2174.373914,982.9606449,477.439462,39.51415295,144.8869571,125.5473466,0.053778265,0.002323477
639.38,20.07,4.01,69.82,40.91,584.0123655,59342.8092,1744.262513,722.1818365,2548.449982,36.73434657,130.4723733,117.200692,0.053790027,0.001768865
402.16,19.3,3.46,81.11,40.83,725.5933458,25192.29371,1953.67985,782.2443814,432.8819631,35.91887554,124.1803115,116.8432227,0.053791653,0.001608503
668.72,18.59,2.28,95.79,40.81,1330.403711,4860.221806,1216.813554,799.9706084,56.69370061,34.8091572,121.7638786,113.0348003,0.054025249,0.001787746
351.51,27.31,2.25,61.07,45.13,1115.855596,4703.272605,1236.041524,731.5306548,57.13532616,33.18143895,159.78624,121.7735098,0.054107285,0.002397006
672.4,29.22,2.71,84.81,51.37,734.8365762,1052.432869,1642.457946,710.6289989,536.2656697,15.18672522,172.7753574,115.1488685,0.054414633,0.003109108
574.4,18.05,4.89,67.47,40.52,603.5783003,2281.976892,1758.246377,740.7094463,500.0255492,38.25546925,121.4429903,113.6418672,0.054427126,0.005443085
683.56,22.1,4.55,78.53,44.62,460.9114049,12463.06199,1558.653801,713.5077357,26256.95537,36.61613005,141.3356921,115.0614869,0.05442801,0.002107904
269.84,24.16,2.26,86.41,45.81,1124.201523,7707.298687,1406.484694,838.8192279,291.9785368,29.27276244,144.7141223,116.8388689,0.054449087,0.002179429
415.92,21.48,3.87,91.71,45,589.6175463,44928.02681,1764.311766,779.4586577,1486.907343,35.31094085,135.4295996,114.0551572,0.054781646,0.001677368
540.88,27.72,4.57,99.98,52.28,424.9492788,31390.68155,1325.017663,721.3202509,768.2416679,34.27340715,166.5398813,113.9333714,0.054790263,0.002380164
448.16,29.74,2.35,66.24,49.13,862.7724628,9909.498364,1182.258456,719.7934696,256.5920655,29.56664217,172.1195839,118.6702942,0.055077332,0.002996047
416.45,17.92,3.35,77.58,40.8,779.1122247,36179.88699,1999.371911,811.7856589,950.9367463,36.32110366,118.6994551,113.3986582,0.055220027,0.001606859
266.13,18.31,4.91,97.1,43.03,615.662763,3797.974411,1960.596375,833.3017461,111.2273877,39.03695227,119.1775796,114.225035,0.055246738,0.002230524
284.2,23.2,2.49,56.43,42.12,936.4921681,32327.56564,1706.241929,780.9098715,575.8876673,33.85664052,141.4703092,119.9460353,0.055278442,0.002889002
577.59,26.31,3.43,53.27,44.32,574.9050741,82350.40572,1579.54918,665.3972151,14374.96951,32.23815249,160.1349914,120.7460186,0.055294199,0.003105209
553.26,27.4,2.23,64.48,47.2,1025.405436,4779.155266,987.0422221,722.3276282,99.4396418,29.19547593,161.739226,116.4767149,0.055473604,0.002847361
310.21,21.69,3.56,68.5,43.5,695.651378,10050.55823,1889.602069,790.7110859,188.0930948,34.6833097,134.5444345,116.0452201,0.055557501,0.001965829
476.93,22.61,2.79,51.17,41.3,796.7079949,75143.57326,1682.457185,723.8142731,13736.7883,33.39246736,141.4207486,118.5094949,0.055714728,0.002480981
433.14,21.04,4.9,68.89,44.35,562.0643943,1765.996208,1605.816117,751.083667,85.5091286,39.91469302,132.3445964,112.4772843,0.055769298,0.004453635
628.04,18.78,3.04,73.64,42.03,815.2631731,25230.68948,1705.758822,788.5076326,1508.38464,34.45007501,124.7849886,110.9292109,0.055989723,0.001938012
413.61,26.67,3.49,56.35,45.91,581.7358104,37700.46986,1667.158242,702.7203786,599.6732833,32.74549227,159.1097948,119.0107722,0.056065111,0.002955539
567.26,25.17,3.64,80,49.27,544.5985297,27887.87447,1459.726859,745.3457411,1888.562166,31.6783465,155.4219106,111.7708248,0.056280149,0.002573195
195.08,18.91,4.63,79.98,44.2,685.5458935,3557.757513,2044.242561,886.8386524,106.7858683,38.51289302,122.3210297,113.5772068,0.05671704,0.001893729
156.04,22.41,4.17,73.89,46.85,704.603856,4337.766196,2089.207535,906.6967856,200.4751401,36.2968984,138.8323836,116.2781016,0.056757115,0.002168891
402.61,21.54,3.67,83.62,46.71,614.3562036,63487.62905,1769.581002,810.3894689,866.1928709,34.67634642,134.8589251,110.1923066,0.056972095,0.001930507
482.19,16.56,2.28,91.67,41.29,1390.610731,6614.150796,1430.784966,882.2208147,80.25808349,34.81329393,109.2605456,107.5944171,0.056996685,0.001458957
632.66,22.06,3.14,77.64,46.57,703.2159005,15227.36769,1472.791165,780.7913145,796.9152166,30.95009569,137.5419427,108.6898899,0.057251412,0.002268419
340.3,14.76,4.16,99.99,41.39,749.9910922,10466.65598,2227.886497,889.4979434,127.9048297,39.98174641,101.7780839,108.2223305,0.057371524,0.002078091
468.27,23.97,2.26,94.17,49.99,2025.610623,1001.49809,284.1877063,835.8413534,44.28287636,118.5227701,144.5631345,107.2337271,0.057618007,0.00219688
562.19,23.52,3.03,80.84,48.73,707.0606075,13507.06479,1426.161775,790.3191628,732.2620354,29.72619344,143.6146398,108.2085832,0.057632388,0.002362508
591.18,27.14,2.17,82.52,52.35,1013.184645,4840.382652,842.9177518,787.5152562,46.95867356,29.95700185,161.1391581,108.0874389,0.057665303,0.002940769
332.81,24.15,3.74,75.89,49.14,575.7978259,33752.77609,1727.807543,810.4738581,1202.007243,33.63061901,145.9201894,110.6802796,0.057783594,0.002222265
534.35,28.07,3.9,86.46,54.77,476.4209915,13122.87162,1286.504946,759.1507205,459.6173873,30.70828364,167.4760774,108.8614814,0.057783848,0.002953409
289.03,26.82,3.14,58.84,48.35,667.8696969,40932.64627,1750.378164,777.411441,9047.481354,31.8566273,159.7327562,115.6092345,0.057803713,0.002976983
448.7,16.47,3.02,89.14,42.42,887.2859436,49498.00636,1993.144428,877.5744223,12337.53744,35.23843794,109.2538725,106.5373341,0.057872827,0.001503921
