l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
698.5,26.8,3.98,79.98,55.49,469.5989367,1379.735701,1241.382718,770.5742111,1003.065429,24.28609232,160.4789539,103.6724737,0.060242156,0.003085719
592.1,29.97,4.08,89.55,50.9,480.2490882,954.8905591,1393.28741,672.5536083,630.2537061,24.51074709,177.6711455,120.3926505,0.052698326,0.00286867
505.11,28.15,3.98,99.63,57.31,482.0770802,1272.198426,1322.167797,793.114883,809.0401155,23.88998524,166.034856,105.7904111,0.058785757,0.002833884
540.88,27.72,4.57,99.98,52.28,482.8992667,876.8112468,1343.175588,721.7420378,436.5470991,24.54935428,166.5398812,113.9333714,0.054790263,0.002380164
388.17,29.38,4.41,58.68,57.74,488.9647702,998.0670776,1399.887686,791.9804165,366.5466158,24.31919725,172.2920348,103.1890282,0.064894457,0.003734186
655.4,22.91,4.83,82.58,52.73,491.2246989,1207.689292,1362.278197,789.2712532,350.970536,26.60464608,143.6513905,102.8289066,0.060391007,0.002430224
620.39,28.17,4.18,53.54,48.49,494.179858,974.5016216,1457.32125,667.8360163,580.7500166,25.32173308,169.3533216,115.6374598,0.057980747,0.003575215
534.35,28.07,3.9,86.46,54.77,494.9914881,1252.881808,1358.968421,759.7752524,820.3523801,23.90301189,167.4760774,108.8614814,0.057783848,0.002953409
599.38,28.13,4.48,68.86,47.14,496.706194,825.5458781,1450.132223,643.742142,455.3357476,25.26120574,171.0389471,123.3912844,0.052696358,0.002659885
581.9,28.77,4.29,70.57,46.62,499.5700687,869.1214044,1487.476497,630.5016047,531.6852586,25.51273148,173.7049723,126.3889569,0.051618347,0.002745708
437.84,28.03,4.92,61.94,54.92,513.1486673,775.2240041,1342.260523,755.4390765,244.5591618,23.11439398,167.289225,106.3381646,0.061869457,0.003010704
485.28,29.08,3.68,62.92,56.4,513.5951239,1324.405245,1388.215676,776.9343447,860.8873059,22.97876033,171.2529857,104.318583,0.062781381,0.003730797
481.56,29.93,3.82,75.07,51.02,516.0280804,1087.097647,1506.057966,691.5720788,709.9005785,24.42847178,177.843522,119.0567702,0.054284967,0.003098039
582.79,20.9,4.86,61.72,58.15,517.1812045,1445.721348,1404.5326,888.2466817,351.469418,27.40032435,133.8201725,90.12021549,0.070859358,0.002823713
546.64,29.64,3.95,82.56,46.38,521.7684903,950.2534572,1583.942038,623.3084039,628.7894363,25.52514546,175.7116598,130.4919224,0.049534956,0.002613881
317.34,29.16,4.27,72.88,54.66,523.2770023,1034.821676,1564.550318,782.0749006,437.3768203,25.52056931,170.6649114,111.2785754,0.058695393,0.002746318
416.73,25.05,4.48,66.72,54.55,528.7881777,1117.279639,1482.495225,816.7031719,407.8441422,25.39724417,152.9395029,102.4697638,0.062897775,0.002558565
400.35,27.28,3.78,58.45,59.49,530.0988421,1473.927683,1467.614805,859.7143774,819.4945805,24.07715382,161.9247721,96.71984965,0.06852526,0.003796335
554.73,29.87,3.4,78.78,58.7,530.7369235,1384.907393,1283.940485,786.3066285,952.7346431,21.10867394,174.557058,104.0331911,0.060804437,0.00351604
683.56,22.1,4.55,78.53,44.62,533.5369826,1236.049895,1553.967371,713.8480353,469.4810423,27.74615831,141.3356921,115.0614869,0.05442801,0.002107904
515.46,29.46,4.01,54.44,43.28,544.2012891,890.935197,1728.167418,579.3184446,595.5643458,27.06551865,176.5857377,136.161447,0.050499488,0.003240831
418.45,24.98,4.7,62.19,53.48,550.2024825,969.1432458,1473.447061,800.2623819,282.1545221,24.56236455,151.7324533,103.176022,0.06292165,0.002672034
374.99,28.32,3.71,50.84,53.86,550.3106512,1346.412282,1593.975174,782.916577,761.0690046,24.45294038,166.9290376,104.9810291,0.06516274,0.004106305
445.34,28.25,3.54,51.04,57.2,550.3434083,1455.331055,1474.738802,813.4653243,865.180532,22.84352535,166.1914907,98.48509863,0.068856746,0.004325455
503.19,23.05,4.56,62.54,49,552.7059073,1105.566142,1541.388722,766.9819758,415.9878912,26.16969416,144.5808891,106.8274301,0.060154006,0.002343666
468.27,24.01,4.65,56.99,48.26,558.6748752,976.3682861,1550.97959,744.5525255,338.272429,25.51966826,147.8168544,109.1296792,0.059943183,0.002578668
388.67,26.48,4.14,96.11,47.12,559.540583,1083.305747,1685.19395,711.3123612,539.3795964,26.34684635,158.0994854,121.6069035,0.05203761,0.001886669
487.57,21.66,4.93,96.22,58.5,560.6068422,1059.206555,1412.924145,893.8019945,297.1030056,25.21360929,135.6799436,95.06650318,0.064461181,0.002566412
473.25,27.46,4.73,71.65,44.09,565.2650478,656.4215736,1605.194796,619.893957,310.3032533,25.42196084,166.0144724,130.6313364,0.049450022,0.004271031
665.08,24.14,4.22,66.86,40.2,568.1536932,1060.325583,1704.870613,621.9848176,583.0428596,27.44567812,151.0587538,131.0264801,0.049411468,0.002025939
549.68,25.27,4.58,69.24,41.66,568.8775038,814.8010139,1656.208299,621.5692849,391.2342716,26.45643288,155.6930518,130.8507766,0.049457521,0.002589545
567.26,25.17,3.64,80,49.27,573.2038295,1496.308772,1569.847597,745.3776007,884.9473782,24.52375729,155.4219106,111.7708248,0.056280149,0.002573195
513.83,20.59,4.67,89.74,52.09,584.3375614,1232.4649,1565.602576,844.697869,390.9969706,26.72745504,131.8249726,100.7394707,0.061058553,0.002335336
458.76,20.61,4.39,75.31,54.25,584.6679854,1534.690302,1625.140384,887.3141975,520.2582841,27.23725874,130.4903414,96.53874474,0.064870451,0.002074066
601.03,21.49,4.12,56.59,44.53,586.4926332,1498.588596,1689.781373,742.3112087,695.1366273,27.31943494,136.2919174,110.1171614,0.05863222,0.002279813
307.42,26.47,4.23,79.47,41.59,588.8705656,1048.605342,1928.389059,638.875657,491.4282237,29.40493867,158.6012719,137.2733283,0.047893873,0.00262327
486.26,21.4,4.53,54.23,45.49,593.8658303,1187.31044,1677.99024,757.1620284,418.6379729,27.10329478,136.5593298,108.5680912,0.059972304,0.002387526
698.57,22.03,4.1,93.51,40.32,594.0522437,1317.022073,1725.50667,665.6271998,690.4672619,27.6749078,141.2671044,126.5196454,0.049374103,0.001778249
597.89,26.65,3.21,84.31,56.9,597.9204428,1729.829543,1335.852596,816.8207296,1080.60258,20.6045579,159.2939259,101.649553,0.061117334,0.00308977
360.69,29.69,3.29,64.88,56.97,599.5813351,1504.339791,1611.070836,816.1952795,869.6241943,22.36780507,171.7466072,105.2827488,0.062520605,0.003535607
262.97,25.44,4.95,73.98,55.22,599.7649383,910.7863721,1582.045237,862.0483476,168.1463667,24.8948863,153.0514158,105.6544992,0.061679043,0.004431654
659.29,21.18,3.84,68.17,47.02,602.3610166,1813.064104,1643.12395,780.228872,928.9348859,26.53206303,135.0193162,106.045983,0.059236309,0.002319671
664.04,23.96,3.38,88.18,53.88,602.7750073,1913.92327,1416.712439,816.895376,1160.068949,22.77599533,148.2306635,101.6822522,0.060402258,0.002723998
443.54,22.08,3.8,71.6,51.74,606.8008748,1855.641785,1703.048183,850.6803272,874.5791078,26.32375635,137.4744968,101.4403358,0.062355998,0.002370478
594.39,21.88,3.7,58.19,49.45,607.1068506,1889.741183,1627.214883,805.5916824,984.6301433,25.57317706,137.2698448,101.4295829,0.063312794,0.002732426
340.65,23.59,3.67,78.25,58.15,609.6787095,1926.902292,1700.985573,934.7665995,905.9397915,25.62235054,143.5412348,96.80012009,0.065465146,0.002580769
402.18,24.32,3.7,96.08,45.99,613.4999471,1539.772948,1811.449026,743.9755251,808.7079165,26.35301282,148.072241,118.6312849,0.053040002,0.001968408
577.59,26.31,3.43,53.27,44.32,616.5010622,1359.726369,1734.15073,664.4958236,820.7024625,24.38481797,160.1349914,120.7460186,0.055294199,0.003105209
332.81,24.15,3.74,75.89,49.14,616.6977685,1644.089647,1833.534214,809.5882317,783.9936763,26.67624386,145.9201894,110.6802796,0.057783594,0.002222265
445.93,27.05,4.91,73.65,42.92,618.4434609,512.6868454,1626.897113,608.9696956,154.8631114,24.42970449,163.5840667,133.231193,0.048154602,0.00569139
270.28,23.31,4.99,97.45,55.88,619.0149465,978.9846329,1620.792135,905.7175982,169.0170554,25.45878634,143.0497555,103.1910498,0.06128321,0.004126116
413.61,26.67,3.49,56.35,45.91,619.5141589,1412.761027,1819.965556,701.5325814,804.8375246,25.26376426,159.1097948,119.0107722,0.056065111,0.002955539
588.77,29.05,3.2,85.22,45.7,627.5177102,1245.545329,1686.708367,637.6579275,799.501113,22.60702524,173.1310417,129.5243979,0.049498162,0.00268521
634.51,17.2,4.15,59.34,56.69,629.0517478,2630.603845,1684.504083,954.9083949,1082.978952,29.50638539,115.7368979,85.81536,0.073752835,0.002619066
639.38,20.07,4.01,69.82,40.91,634.1353925,1649.482868,1839.105724,721.6312781,756.8730116,28.28997522,130.4723733,117.200692,0.053790027,0.001768865
208.28,29.37,3.55,63.25,54.25,634.6089717,1576.08865,1934.997572,855.093163,827.7515296,26.65255692,170.4134033,112.1892739,0.06037771,0.003403313
213.08,29.67,4.48,64.58,59.45,634.676822,1073.898,1624.152393,892.4452575,160.5016632,23.90176533,173.070494,105.7375826,0.063938818,0.003185919
641.09,18.41,4.38,98.12,44.05,635.0573853,1596.139715,1782.589384,787.0938043,576.1449149,28.77727027,121.6476179,109.1502301,0.056012902,0.001932072
415.92,21.48,3.87,91.71,45,635.6393137,1711.978944,1869.926887,778.6301796,776.627258,27.62554476,135.4295996,114.0551572,0.054781646,0.001677368
353.75,20.88,3.9,82.87,51.19,637.627856,1956.650188,1853.608876,890.6137583,769.6073822,27.62047527,129.9279236,101.9540603,0.061489561,0.00184882
693.5,21.73,3.38,62.57,54.1,639.9698775,2252.757206,1498.118557,855.999215,1227.77335,23.38805324,136.1778372,94.3922348,0.06686205,0.002896477
403.9,20.1,3.74,86.11,58.86,642.6984486,2434.247147,1733.497556,984.8922624,1053.782074,26.65385194,126.4685732,91.35304395,0.067891329,0.00224928
260.07,22.51,3.98,71.67,49.59,642.8533743,1610.90594,1937.931808,871.2307602,626.5066218,28.31181803,138.1878421,107.3695956,0.059695247,0.002344994
669.59,28.7,3.08,65.36,46.22,644.0349438,1311.291192,1623.560786,648.8548389,819.7911024,21.28173224,171.1187482,123.9017086,0.05261188,0.003099086
590.67,20.41,3.72,51.77,46.14,644.3459507,2002.6597,1780.91726,794.7126104,941.8226764,26.77412427,130.0756855,103.047266,0.06310147,0.002594137
588.07,18.36,4.06,79.21,47.86,645.7837608,2076.663674,1801.809352,847.5461595,826.723,28.6192327,120.6361905,101.2677626,0.061019783,0.00183687
397.13,22.02,3.82,82.07,42.22,647.2707535,1626.46805,1951.382767,735.1498405,762.8997298,27.9503123,136.6498646,120.6129156,0.052512134,0.001602712
336.32,28.33,3.61,98.36,40.29,652.0054677,1122.777911,2106.160379,582.0549309,722.3859735,28.79467969,168.6861807,150.1011319,0.043861713,0.001919554
544.48,26.47,3.07,52.03,53.34,652.1345373,1734.896019,1521.833786,788.9563009,977.2153285,20.35765019,159.2483352,101.0694994,0.065780423,0.003796048
514.95,18.19,4.33,95.76,46.85,652.5295202,1704.929742,1840.633695,840.152617,566.2845893,28.89374552,120.1857683,104.2850334,0.058682701,0.002020142
475.05,28.67,3.32,66.29,42.03,652.5803865,1164.691948,1943.38235,593.8939648,749.199148,25.41094984,171.5834693,139.627423,0.047836418,0.002667511
586.06,16.44,4.3,80.5,56.55,654.9918974,2397.743041,1772.904116,971.0792855,815.7359368,29.95996347,111.7037343,88.30591914,0.069441606,0.002012553
230.54,21.94,4.04,96.53,50.06,657.3581581,1825.144487,1994.346017,907.1291451,520.1447183,29.02348707,135.4347022,108.4354038,0.058427248,0.002186424
402.61,21.54,3.67,83.62,46.71,657.7729335,1908.640093,1905.651251,809.4867956,874.2874026,27.100785,134.8589251,110.1923066,0.056972095,0.001930507
155.51,27.71,4.39,76.22,43.99,659.5665097,1134.856728,2130.849354,719.5537174,403.2715294,31.70344092,164.7232833,137.8869327,0.049107802,0.002486868
433.14,21.04,4.9,68.89,44.35,659.7782268,808.0098708,1678.798641,750.1689518,161.6960103,25.44928421,132.3445964,112.4772843,0.055769298,0.004453635
401.7,17.6,4.39,75.25,54.42,664.6296744,1890.560194,1835.198419,965.0077331,507.5932673,28.75967174,115.100295,92.16603539,0.067420403,0.002486158
516.64,15.76,4.48,55.6,59.9,667.4746419,2410.394946,1804.958079,1027.263747,611.8892841,30.28045218,107.8433889,80.96809972,0.079413089,0.002404609
575.56,28.14,2.98,86.73,47.87,670.4679432,1468.98643,1629.114082,690.4709165,869.1797104,20.59795811,168.1359868,121.2390748,0.052079079,0.002683846
233.7,22.06,3.82,50.4,50.22,671.7440844,1976.984549,2040.566093,912.503194,750.637358,28.74197995,135.7337461,102.1717364,0.066489662,0.003012102
282.17,20.36,3.92,90.01,50.45,672.1144198,1945.885942,1984.268819,920.168918,708.8279653,28.51393085,127.1979147,103.126126,0.060422788,0.002232576
435.06,18.82,3.95,81.17,46.61,673.7833475,2047.356864,1951.488446,847.9382983,778.7421185,28.79763769,122.4538119,105.032117,0.059302584,0.001630122
449.67,28.08,3.03,52.51,48.57,674.4162148,1541.666333,1749.824952,717.451879,880.5491329,21.47727516,166.5307025,114.1856397,0.059098703,0.003569549
250.03,29.73,3.1,92.17,59.63,675.4386751,1811.305151,1812.965349,912.3529238,961.3797903,22.72184368,171.3418402,106.3148935,0.060251652,0.002830281
505.58,29.38,3.2,72.15,41.3,680.1778202,1121.725863,2012.890674,567.0817203,729.2233648,25.20512277,175.0824226,145.8500005,0.045770404,0.00253907
379.58,28.99,3.08,70.01,46.64,685.0741041,1435.475339,1918.955536,685.1460134,824.5202986,23.24350871,169.5909739,125.3677815,0.052420117,0.002722079
574.4,18.05,4.89,67.47,40.52,685.7671451,1067.605959,1821.725866,740.3857741,293.971019,27.86657354,121.4429905,113.6418675,0.054427126,0.005443085
361.05,22.51,3.33,79.46,54.36,686.1158127,2267.633778,1828.252847,913.583946,1057.184358,24.54195436,137.3913388,99.2613089,0.063398328,0.002329849
202.14,28.42,3.55,55.9,44.33,686.5771196,1463.604245,2201.913047,704.4894242,831.3172217,29.19565409,166.661093,131.8542111,0.052645811,0.003058629
302.82,19.26,3.88,95.37,51.43,687.7589116,2260.267532,2003.137639,948.2920401,801.5107532,28.67131394,122.0501078,100.1671555,0.062033607,0.001533355
289.38,21.42,4.44,75.77,54.17,693.7131232,1305.942453,1737.550596,925.9218073,161.107653,25.49043772,133.6515972,99.79216914,0.06404055,0.004276563
224.07,24.68,3.61,68.94,43.75,695.5068546,1678.393824,2184.885507,761.7798484,829.6524732,29.16680705,149.2996965,124.7925565,0.052847448,0.002164989
359.58,16.92,4.34,82.72,55.38,695.5147844,2002.747838,1930.186125,1005.663861,478.0300287,29.35153762,111.5964672,90.77576937,0.06751394,0.004089022
672.4,29.22,2.71,84.81,51.37,700.2339051,1560.442742,1392.061927,714.381068,886.101126,17.33054198,172.7753574,115.1488685,0.054414633,0.003109108
621.5,15.69,4.56,56.86,43.53,702.3779589,1851.561351,1948.333755,833.2809064,514.8875852,30.70146986,110.403202,101.2054406,0.062253457,0.002358115
310.21,21.69,3.56,68.5,43.5,703.7529642,1972.330474,2102.586148,789.0918834,895.9292055,27.94464048,134.5444345,116.0452201,0.055557501,0.001965829
469.78,16.15,4.82,60.06,53.19,707.3783871,1568.405774,1809.547993,950.1554167,289.6062271,28.35412984,109.6823715,89.32886903,0.070531296,0.003438742
289.03,26.82,3.14,58.84,48.35,711.7238319,1739.229552,2019.633637,775.483709,911.1712379,24.42667695,159.7327562,115.6092345,0.057803713,0.002976983
478.81,27.21,2.82,90.23,53.72,712.3134667,1846.27518,1596.590307,802.7339588,957.6234717,19.10119798,160.1566331,107.7112841,0.057936576,0.002662945
632.66,22.06,3.14,77.64,46.57,715.8791017,2127.365148,1742.956818,780.2703966,1060.743166,22.91382781,137.5419427,108.6898899,0.057251412,0.002268419
562.19,23.52,3.03,80.84,48.73,717.1741583,2037.039787,1724.683473,789.5725212,1017.538602,21.78761517,143.6146398,108.2085832,0.057632388,0.002362508
408.7,18.42,3.54,88.69,59.17,717.5678835,2983.940341,1874.433541,1022.776759,1211.032078,26.73059103,118.578468,88.99064647,0.069339015,0.002135351
156.04,22.41,4.17,73.89,46.85,717.6741538,1755.496146,2188.931702,905.405896,411.4561146,31.00529866,138.8323836,116.2781016,0.056757115,0.002168891
