l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
332.81,24.15,3.74,75.89,49.14,616.6987565993802,1644.0893514948996,1833.5343669613696,809.5882297767124,783.9725218113349,26.676210370046352,145.9201896236506,110.68027998037788,0.057783593936135316,0.003896137518251077,3.1147939829111415,0.59696006780543
400.65,15.01,4.9,74.27,41.05,1510.898295428889,878.7021075614215,1785.6815556550096,838.0412147316472,72.27213831872896,15.490686621955483,104.90400725310336,108.65563664812838,0.05798927680450593,0.003943242484338116,1.6917658601413603,0.3657857835387949
655.4,22.91,4.83,82.58,52.73,916.966833059535,688.3946000578669,1027.5792141955403,789.4146793625284,63.64451063146553,14.522226580234824,143.65139079693992,102.82890708623319,0.06039100706681938,0.004629931715391541,1.4942312202069696,0.30496459926641306
477.76,15.85,2.33,95.61,50.18,1266.0430434420527,4770.3123264528795,2466.9084995315616,1008.7778758171264,1206.6186528733006,20.105570415900182,105.22361553442374,93.29184985254733,0.06506019874907963,0.0017005695175543413,2.029423915901657,0.5498755169060924
307.42,26.47,4.23,79.47,41.59,588.8706344298633,1048.6052601116628,1928.3890588327508,638.8756568104109,491.4276352438855,29.404936246754765,158.60127219134597,137.27332874760944,0.047893873164248285,0.0075109408972120865,2.117931368435979,0.5604226530001664
151.68,25.53,2.92,78.63,51.49,892.9382264713918,2597.2414142325497,2535.9630186646455,981.2819453224935,1132.1165798687157,26.680913152161448,151.6230129855353,112.9141036748843,0.058294268142783434,0.002278911714696167,3.0938317554319426,0.5828183599618377
403.9,20.1,3.74,86.11,58.86,642.6986071939383,2434.2480290761578,1733.4975473815618,984.8922628200648,1053.7763033711408,26.653846340487423,126.46857347997137,91.35304431330029,0.0678913295609265,0.0022492802126975148,4.015125616021732,0.5879650126114114
291.84,15.7,4.28,76.53,52.63,1353.798864401268,1165.6098372453228,1782.6478378508557,1031.5113796823773,73.63356548672692,18.26727960825062,106.2655522345779,93.15416344267707,0.06778279849198843,0.003413461184548517,1.433949615159587,0.3331042458631943
590.67,20.41,3.72,51.77,46.14,644.3462480198884,2002.6589972556094,1780.9172807406858,794.7126096479168,941.8143599664111,26.774113842754286,130.07568585637694,103.04726641859773,0.06310147000625864,0.002594136587205501,3.493532042037941,0.5978027603021225
216.98,22.36,2.45,98.51,54.42,1047.0502139187927,3331.9776670624124,2508.202498799304,1040.0229265229232,1098.2116464156732,21.535058645572903,135.63974553265425,101.31337445154178,0.062110736077611216,0.0021380224164299815,2.3159274551333264,0.5604732270680135
125.96,10.1,4.21,63.95,59.58,1355.8230214231992,3535.8773395502344,3147.0747199957905,1523.074384548216,176.38834221693497,33.33500619649887,79.97065473455213,84.02711823549606,0.07971860032448438,0.0024550912491244446,1.614783055677298,0.5790376573106499
623.66,26.91,2.48,93.51,59.02,780.5036976685777,2126.6691609503814,1152.4494799472404,852.2663887827006,1011.712862229421,14.35620300417445,159.66122795656554,98.98356134681401,0.06186830966835837,0.0032237472993574385,1.602157223933288,0.35036524216451076
289.03,26.82,3.14,58.84,48.35,711.7240192541774,1739.2292840234009,2019.6338499220421,775.4837076129186,911.167031038255,24.426671665110003,159.73275657606408,115.60923489244684,0.05780371317747533,0.00297698290007616,2.885772309520699,0.5216078109293364
397.13,22.02,3.82,82.07,42.22,647.2713591790341,1626.4663895584379,1951.3829083799346,735.1498379408333,762.8886660293252,27.950292001557848,136.64986460195047,120.61291559362972,0.052512134048304376,0.00404827167232285,3.0170760920246718,0.5727622760190754
147.12,15.7,3.21,50.58,57.17,1026.9844235527264,4721.83169728378,2885.0327258147254,1319.2753270611372,1316.793875693447,31.08550655438968,105.19777751604737,87.25339454010776,0.07905791586110006,0.0032528340619987725,4.107810962305322,0.6212326310578848
154.17,28.14,3.28,95.03,56.61,747.0737134197984,2107.8892684074617,2216.633988015119,996.5083545867399,1022.1212493496311,27.553968001737463,164.49586920598836,111.41642588624967,0.0585905429171535,0.002720965448890546,3.3099572208125814,0.5938093762741097
683.56,22.1,4.55,78.53,44.62,533.5369407405215,1236.0499909083492,1553.967388476473,713.8480353199881,469.48144276862763,27.746159960284977,141.33569210668819,115.06148694359572,0.05442801026299063,0.005815990105338345,2.1006911772807055,0.5760440638452023
460.31,17.78,3.08,60.17,48.93,865.6617962898181,3182.0479676503433,2167.7054556895177,922.1352495923574,1183.0191564100323,25.25799846885727,116.34340591396914,95.76299535999462,0.06627699562263951,0.0021415250787993776,3.471931601594307,0.5816050492032985
359.58,16.92,4.34,82.72,55.38,695.5223390897715,2002.7622225011505,1930.1841300621563,1005.6638942281736,477.9745533263038,29.351291561920053,111.59646715171468,90.77576937531084,0.06751394030046354,0.00408902186509575,2.2145437016232763,0.5696682100040255
443.54,22.08,3.8,71.6,51.74,606.8013827874275,1855.6423082953424,1703.0481686536134,850.6803271768694,874.5653963972051,26.32373817218875,137.47449706289655,101.44033623793156,0.06235599816513381,0.0029708545440984883,3.416546322553836,0.59460115991665
698.5,26.8,3.98,79.98,55.49,469.59896167968634,1379.735675239918,1241.3827066682998,770.574210974917,1003.0642012570978,24.286091204531495,160.4789544037556,103.67247421603967,0.06024215656834032,0.003085719163614954,3.6671901526558233,0.5877078415048298
388.17,29.38,4.41,58.68,57.74,488.9668917788284,998.073017493459,1399.8868395681977,791.980426684254,366.531487040711,24.319116825764315,172.29203434273606,103.18902775540153,0.06489445662389669,0.006499590384359837,1.7592233290746344,0.5794272360184756
155.51,27.71,4.39,76.22,43.99,659.6323941107011,1134.839902708848,2130.8444681320543,719.5536810966388,402.9417391548529,31.70124930865235,164.7232835848061,137.88693298603678,0.049107802112444594,0.008278190054556775,1.671018424089974,0.5729685793685951
628.28,12.77,2.02,93.98,52.46,1745.9737246915038,6772.393538924987,2308.3625236044763,1094.5457927935352,1180.1421236596852,16.94785873230604,91.95432589839093,85.78696485255813,0.06986537680366704,0.001884244820238123,2.0458831224255776,0.5357195394550137
545.7,17.66,2.27,53.6,48.59,1199.3942353941636,3966.2903446106075,2197.125461255572,935.3687854316099,1095.559024306024,17.99299193725877,114.35821349679868,93.04665812951363,0.0685349359506798,0.0023556090332767588,1.9645812928857895,0.5169319550111874
520.85,20.32,2.74,73.13,55.28,871.2401028632216,2948.4313463882286,1798.6502830800782,942.7463503325705,1142.5933132141352,20.197790995131594,127.22043184434544,92.45547408878423,0.06720484737552285,0.002423901136855267,2.6174933889797827,0.5583162267287886
