l_rdl , w_rdl, t_rdl, h_tsv, p_rdl, R1                 , R2                    , R3                 , L1                , L2                      , L3                 , Cox               , Csi               , Rsi                 , rmse
219.56, 15.11,  2.73, 75.89, 49.14, 1137.320472714087  ,   13677.938107518017  , 2924.5375177450287 , 1119.274733558477 ,     9451.688458898067   ,  28.079020404005874, 101.64259852940309,  95.43432187400462, 0.06634796409904213 , 0.0017923391357048775
250.82, 24.19,  2.09, 74.27, 41.05, 1251.419794365807  ,    2782.1501755596946 , 2934.025613667615  ,  763.0985919698213,      881.9518240417431  ,  19.848651490464214, 145.66955549340386, 127.80496487405058, 0.050822771774844705, 0.002015202610549619
395.12, 24.09,  3.42, 82.58, 52.73,  639.4218262381615 ,    1896.3221419208407 , 1734.5906359071523 ,  846.8957475092045,      970.7586166330816  ,  24.377519471086366, 146.1297803587241 , 104.5660825310419 , 0.060182204955660054, 0.0024076863011735887
413.96, 12.39,  3.24, 95.61, 50.18, 1064.5797775521494 ,    6600.822825667915  , 2784.501333803521  , 1073.4668762538736,     2314.2600266168824  ,  30.96542445275504 ,  90.26302888091061,  90.18611984279495, 0.0676701364430848  , 0.0014495445463795073
107.55, 21.36,  4.58, 79.47, 41.59, 2839.027203495371  ,     760.9256074544477 , 1029.3290402987561 ,  881.1268593518491,       28.789255435299346,  30.95502328469377 , 134.88469703373326, 130.34015070447748, 0.051401641226465865, 0.0019284811758680316
231.45, 23.12,  4.05, 78.63, 51.49, 2236.979475265588  ,     694.2671160607093 ,  564.298053785408  ,  900.4010809177194,       31.388455931215105,  19.145093279879685, 141.86307037895543, 107.43695454386496, 0.06002149313395775 , 0.0028256224091097633
379.25, 21.01,  4.59, 86.11, 58.86,  594.237920366698  ,    1323.0161071498967 , 1585.105188820004  ,  945.848500677453 ,      370.8920489662909  ,  26.445256366509067, 132.837888488051  ,  93.50383058295515, 0.06629686938840529 , 0.002774101565625562
139.44, 25.27,  3.36, 76.53, 52.63, 2942.4278892987013 ,     933.1589345654124 ,  625.6160036550575 , 1009.9217470648866,       33.841208676259484,  16.546554499495745, 150.98118129772877, 111.80222247818871, 0.059439198580865486, 0.0025108648107441825
260.86, 18.69,  3.64, 51.77, 46.14,  892.2937539953338 ,    3713.56231964805   , 2107.0688830926524 ,  913.8121159226694,       37.20037744837057 ,  29.814586812328464, 120.4419188698913 , 102.72462191602304, 0.06459121500153536 , 0.0023713204402348465
384.06, 23.51,  2.79, 98.51, 54.42,  770.9115145459378 ,    9630.98845389226   , 1822.7866218543836 ,  903.3949167375721,    10725.504090621165   ,  21.474943561158543, 142.70543551855886, 101.65443913698282, 0.06087679375162094 , 0.0022117618358800327
